Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,2.2222,0.9610,0.7659,0.4001,0.0953,0.0000,0.0000,0.0000,0.0000,0.0000
2,7,2,4.4444,0.9610,0.9610,0.7659,0.7659,0.4001,0.4001,0.0953,0.0953,0.0000
2,7,3,6.6667,0.9610,0.9610,0.9610,0.7659,0.7659,0.7659,0.4001,0.4001,0.4001
2,7,4,6.6667,0.9610,0.9610,0.9610,0.7659,0.7659,0.7659,0.4001,0.4001,0.4001
2,7,5,6.6667,0.9610,0.9610,0.9610,0.7659,0.7659,0.7659,0.4001,0.4001,0.4001
2,7,6,6.6667,0.9610,0.9610,0.9610,0.7659,0.7659,0.7659,0.4001,0.4001,0.4001
2,7,7,6.6667,0.9610,0.9610,0.9610,0.7659,0.7659,0.7659,0.4001,0.4001,0.4001
2,7,8,6.6667,0.9610,0.9610,0.9610,0.7659,0.7659,0.7659,0.4001,0.4001,0.4001
2,7,9,6.6667,0.9610,0.9610,0.9610,0.7659,0.7659,0.7659,0.4001,0.4001,0.4001
2,7,10,6.6667,0.9610,0.9610,0.9610,0.7659,0.7659,0.7659,0.4001,0.4001,0.4001
2,7,11,6.6667,0.9610,0.9610,0.9610,0.7659,0.7659,0.7659,0.4001,0.4001,0.4001
2,7,12,6.6667,0.9610,0.9610,0.9610,0.7659,0.7659,0.7659,0.4001,0.4001,0.4001
2,7,13,6.6667,0.9610,0.9610,0.9610,0.7659,0.7659,0.7659,0.4001,0.4001,0.4001
2,7,14,6.6667,0.9610,0.9610,0.9610,0.7659,0.7659,0.7659,0.4001,0.4001,0.4001
3,7,1,2.2222,0.9610,0.7659,0.4001,0.0953,0.0000,0.0000,0.0000,0.0000,0.0000
3,7,2,4.4444,0.9610,0.9610,0.7659,0.7659,0.4001,0.4001,0.0953,0.0953,0.0000
3,7,3,6.6667,0.9610,0.9610,0.9610,0.7659,0.7659,0.7659,0.4001,0.4001,0.4001
3,7,4,6.6667,0.9610,0.9610,0.9610,0.7659,0.7659,0.7659,0.4001,0.4001,0.4001
3,7,5,6.6667,0.9610,0.9610,0.9610,0.7659,0.7659,0.7659,0.4001,0.4001,0.4001
