Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,0.8333,0.6597,0.1736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,7,2,1.5278,0.6597,0.5787,0.1688,0.1206,0.0000,0.0000,0.0000,0.0000,0.0000
2,7,3,2.0833,0.6597,0.5787,0.4929,0.1591,0.1157,0.0772,0.0000,0.0000,0.0000
2,7,4,2.5000,0.6597,0.5787,0.4929,0.4022,0.1447,0.1061,0.0723,0.0434,0.0000
2,7,5,2.7778,0.6597,0.5787,0.4929,0.4022,0.3067,0.1254,0.0916,0.0627,0.0386
2,7,6,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
2,7,7,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
2,7,8,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
2,7,9,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
2,7,10,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
2,7,11,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
2,7,12,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
2,7,13,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
2,7,14,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
3,7,1,0.8333,0.6597,0.1736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,7,2,1.5278,0.6597,0.5787,0.1688,0.1206,0.0000,0.0000,0.0000,0.0000,0.0000
3,7,3,2.0833,0.6597,0.5787,0.4929,0.1591,0.1157,0.0772,0.0000,0.0000,0.0000
3,7,4,2.5000,0.6597,0.5787,0.4929,0.4022,0.1447,0.1061,0.0723,0.0434,0.0000
3,7,5,2.7778,0.6597,0.5787,0.4929,0.4022,0.3067,0.1254,0.0916,0.0627,0.0386
3,7,6,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
3,7,7,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
3,7,8,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
3,7,9,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
3,7,10,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
3,7,11,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
3,7,12,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
3,7,13,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
3,7,14,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
4,7,1,0.8333,0.6597,0.1736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,7,2,1.5278,0.6597,0.5787,0.1688,0.1206,0.0000,0.0000,0.0000,0.0000,0.0000
4,7,3,2.0833,0.6597,0.5787,0.4929,0.1591,0.1157,0.0772,0.0000,0.0000,0.0000
4,7,4,2.5000,0.6597,0.5787,0.4929,0.4022,0.1447,0.1061,0.0723,0.0434,0.0000
4,7,5,2.7778,0.6597,0.5787,0.4929,0.4022,0.3067,0.1254,0.0916,0.0627,0.0386
4,7,6,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
4,7,7,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
4,7,8,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
4,7,9,2.9167,0.6597,0.5787,0.4929,0.4022,0.3067,0.2064,0.1013,0.0723,0.0482
