Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,1.9444,0.8677,0.5777,0.3215,0.1354,0.0372,0.0049,0.0000,0.0000,0.0000
2,7,2,3.2407,0.8677,0.7710,0.5492,0.4285,0.2720,0.1795,0.0940,0.0498,0.0193
2,7,3,3.8889,0.8677,0.7710,0.6459,0.4854,0.3781,0.2748,0.1853,0.1226,0.0747
2,7,4,3.8889,0.8677,0.7710,0.6459,0.4854,0.3781,0.2748,0.1853,0.1226,0.0747
2,7,5,3.8889,0.8677,0.7710,0.6459,0.4854,0.3781,0.2748,0.1853,0.1226,0.0747
2,7,6,3.8889,0.8677,0.7710,0.6459,0.4854,0.3781,0.2748,0.1853,0.1226,0.0747
2,7,7,3.8889,0.8677,0.7710,0.6459,0.4854,0.3781,0.2748,0.1853,0.1226,0.0747
2,7,8,3.8889,0.8677,0.7710,0.6459,0.4854,0.3781,0.2748,0.1853,0.1226,0.0747
2,7,9,3.8889,0.8677,0.7710,0.6459,0.4854,0.3781,0.2748,0.1853,0.1226,0.0747
2,7,10,3.8889,0.8677,0.7710,0.6459,0.4854,0.3781,0.2748,0.1853,0.1226,0.0747
2,7,11,3.8889,0.8677,0.7710,0.6459,0.4854,0.3781,0.2748,0.1853,0.1226,0.0747
2,7,12,3.8889,0.8677,0.7710,0.6459,0.4854,0.3781,0.2748,0.1853,0.1226,0.0747
2,7,13,3.8889,0.8677,0.7710,0.6459,0.4854,0.3781,0.2748,0.1853,0.1226,0.0747
2,7,14,3.8889,0.8677,0.7710,0.6459,0.4854,0.3781,0.2748,0.1853,0.1226,0.0747
3,7,1,1.5556,0.7978,0.4632,0.2110,0.0685,0.0138,0.0013,0.0000,0.0000,0.0000
3,7,2,2.5926,0.7978,0.6863,0.4352,0.3178,0.1734,0.1046,0.0456,0.0220,0.0069
3,7,3,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
3,7,4,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
3,7,5,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
3,7,6,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
3,7,7,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
3,7,8,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
3,7,9,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
3,7,10,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
3,7,11,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
3,7,12,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
3,7,13,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
3,7,14,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
4,7,1,1.5556,0.7978,0.4632,0.2110,0.0685,0.0138,0.0013,0.0000,0.0000,0.0000
4,7,2,2.5926,0.7978,0.6863,0.4352,0.3178,0.1734,0.1046,0.0456,0.0220,0.0069
4,7,3,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
4,7,4,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
4,7,5,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
4,7,6,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
4,7,7,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
4,7,8,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
4,7,9,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
4,7,10,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
4,7,11,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
4,7,12,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
4,7,13,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
4,7,14,3.1111,0.7978,0.6863,0.5467,0.3739,0.2733,0.1828,0.1108,0.0676,0.0373
5,7,1,1.1667,0.6959,0.3276,0.1129,0.0263,0.0037,0.0002,0.0000,0.0000,0.0000
5,7,2,1.9444,0.6959,0.5732,0.3038,0.2051,0.0902,0.0494,0.0169,0.0074,0.0018
5,7,3,2.3333,0.6959,0.5732,0.4265,0.2528,0.1714,0.1033,0.0541,0.0302,0.0148
5,7,4,2.3333,0.6959,0.5732,0.4265,0.2528,0.1714,0.1033,0.0541,0.0302,0.0148
5,7,5,2.3333,0.6959,0.5732,0.4265,0.2528,0.1714,0.1033,0.0541,0.0302,0.0148
5,7,6,2.3333,0.6959,0.5732,0.4265,0.2528,0.1714,0.1033,0.0541,0.0302,0.0148
5,7,7,2.3333,0.6959,0.5732,0.4265,0.2528,0.1714,0.1033,0.0541,0.0302,0.0148
5,7,8,2.3333,0.6959,0.5732,0.4265,0.2528,0.1714,0.1033,0.0541,0.0302,0.0148
5,7,9,2.3333,0.6959,0.5732,0.4265,0.2528,0.1714,0.1033,0.0541,0.0302,0.0148
5,7,10,2.3333,0.6959,0.5732,0.4265,0.2528,0.1714,0.1033,0.0541,0.0302,0.0148
5,7,11,2.3333,0.6959,0.5732,0.4265,0.2528,0.1714,0.1033,0.0541,0.0302,0.0148
