Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,2.5000,0.9412,0.7388,0.4638,0.2388,0.0918,0.0229,0.0027,0.0000,0.0000
2,7,2,5.0000,0.9412,0.9412,0.7388,0.7388,0.4638,0.4638,0.2388,0.2388,0.0918
2,7,3,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
2,7,4,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
2,7,5,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
2,7,6,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
2,7,7,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
2,7,8,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
2,7,9,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
2,7,10,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
2,7,11,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
2,7,12,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
2,7,13,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
2,7,14,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
3,7,1,2.5000,0.9412,0.7388,0.4638,0.2388,0.0918,0.0229,0.0027,0.0000,0.0000
3,7,2,5.0000,0.9412,0.9412,0.7388,0.7388,0.4638,0.4638,0.2388,0.2388,0.0918
3,7,3,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
3,7,4,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
3,7,5,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
3,7,6,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
3,7,7,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
3,7,8,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
3,7,9,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
3,7,10,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
3,7,11,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
3,7,12,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
3,7,13,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
3,7,14,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
4,7,1,2.5000,0.9412,0.7388,0.4638,0.2388,0.0918,0.0229,0.0027,0.0000,0.0000
4,7,2,5.0000,0.9412,0.9412,0.7388,0.7388,0.4638,0.4638,0.2388,0.2388,0.0918
4,7,3,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
4,7,4,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
4,7,5,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
4,7,6,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
4,7,7,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
4,7,8,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
4,7,9,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
4,7,10,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
4,7,11,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
4,7,12,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
4,7,13,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
4,7,14,7.5000,0.9412,0.9412,0.9412,0.7388,0.7388,0.7388,0.4638,0.4638,0.4638
5,7,1,2.0000,0.8877,0.6119,0.3231,0.1318,0.0381,0.0069,0.0006,0.0000,0.0000
5,7,2,4.0000,0.8877,0.8877,0.6119,0.6119,0.3231,0.3231,0.1318,0.1318,0.0381
5,7,3,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
5,7,4,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
5,7,5,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
5,7,6,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
5,7,7,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
5,7,8,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
5,7,9,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
5,7,10,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
5,7,11,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
5,7,12,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
5,7,13,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
5,7,14,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
6,7,1,2.0000,0.8877,0.6119,0.3231,0.1318,0.0381,0.0069,0.0006,0.0000,0.0000
6,7,2,4.0000,0.8877,0.8877,0.6119,0.6119,0.3231,0.3231,0.1318,0.1318,0.0381
6,7,3,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
6,7,4,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
6,7,5,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
6,7,6,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
6,7,7,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
6,7,8,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
6,7,9,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
6,7,10,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
6,7,11,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
6,7,12,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
6,7,13,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
6,7,14,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
7,7,1,2.0000,0.8877,0.6119,0.3231,0.1318,0.0381,0.0069,0.0006,0.0000,0.0000
7,7,2,4.0000,0.8877,0.8877,0.6119,0.6119,0.3231,0.3231,0.1318,0.1318,0.0381
7,7,3,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
7,7,4,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
7,7,5,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
7,7,6,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
7,7,7,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
7,7,8,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
7,7,9,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
7,7,10,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
7,7,11,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
7,7,12,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
7,7,13,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
7,7,14,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
8,7,1,2.0000,0.8877,0.6119,0.3231,0.1318,0.0381,0.0069,0.0006,0.0000,0.0000
8,7,2,4.0000,0.8877,0.8877,0.6119,0.6119,0.3231,0.3231,0.1318,0.1318,0.0381
8,7,3,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
8,7,4,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
8,7,5,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
8,7,6,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
8,7,7,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
8,7,8,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
8,7,9,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
8,7,10,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
8,7,11,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
8,7,12,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
8,7,13,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
8,7,14,6.0000,0.8877,0.8877,0.8877,0.6119,0.6119,0.6119,0.3231,0.3231,0.3231
9,7,1,1.5000,0.7973,0.4504,0.1845,0.0552,0.0112,0.0014,0.0001,0.0000,0.0000
9,7,2,3.0000,0.7973,0.7973,0.4504,0.4504,0.1845,0.1845,0.0552,0.0552,0.0112
9,7,3,4.5000,0.7973,0.7973,0.7973,0.4504,0.4504,0.4504,0.1845,0.1845,0.1845
9,7,4,4.5000,0.7973,0.7973,0.7973,0.4504,0.4504,0.4504,0.1845,0.1845,0.1845
9,7,5,4.5000,0.7973,0.7973,0.7973,0.4504,0.4504,0.4504,0.1845,0.1845,0.1845
9,7,6,4.5000,0.7973,0.7973,0.7973,0.4504,0.4504,0.4504,0.1845,0.1845,0.1845
9,7,7,4.5000,0.7973,0.7973,0.7973,0.4504,0.4504,0.4504,0.1845,0.1845,0.1845
9,7,8,4.5000,0.7973,0.7973,0.7973,0.4504,0.4504,0.4504,0.1845,0.1845,0.1845
9,7,9,4.5000,0.7973,0.7973,0.7973,0.4504,0.4504,0.4504,0.1845,0.1845,0.1845
