Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,2.7778,0.9827,0.8743,0.6033,0.2646,0.0529,0.0000,0.0000,0.0000,0.0000
2,7,2,5.5556,0.9827,0.9827,0.8743,0.8743,0.6033,0.6033,0.2646,0.2646,0.0529
2,7,3,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
2,7,4,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
2,7,5,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
2,7,6,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
2,7,7,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
2,7,8,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
2,7,9,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
2,7,10,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
2,7,11,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
2,7,12,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
2,7,13,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
2,7,14,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
3,7,1,2.7778,0.9827,0.8743,0.6033,0.2646,0.0529,0.0000,0.0000,0.0000,0.0000
3,7,2,5.5556,0.9827,0.9827,0.8743,0.8743,0.6033,0.6033,0.2646,0.2646,0.0529
3,7,3,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
3,7,4,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
3,7,5,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
3,7,6,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
3,7,7,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
3,7,8,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
3,7,9,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
3,7,10,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
3,7,11,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
3,7,12,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
3,7,13,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
3,7,14,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
4,7,1,2.7778,0.9827,0.8743,0.6033,0.2646,0.0529,0.0000,0.0000,0.0000,0.0000
4,7,2,5.5556,0.9827,0.9827,0.8743,0.8743,0.6033,0.6033,0.2646,0.2646,0.0529
4,7,3,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
4,7,4,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
4,7,5,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
4,7,6,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
4,7,7,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
4,7,8,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
4,7,9,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
4,7,10,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
4,7,11,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
4,7,12,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
4,7,13,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
4,7,14,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
5,7,1,2.7778,0.9827,0.8743,0.6033,0.2646,0.0529,0.0000,0.0000,0.0000,0.0000
5,7,2,5.5556,0.9827,0.9827,0.8743,0.8743,0.6033,0.6033,0.2646,0.2646,0.0529
5,7,3,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
5,7,4,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
5,7,5,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
5,7,6,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
5,7,7,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
5,7,8,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
5,7,9,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
5,7,10,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
5,7,11,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
5,7,12,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
5,7,13,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
5,7,14,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
6,7,1,2.2222,0.9471,0.7354,0.3967,0.1257,0.0173,0.0000,0.0000,0.0000,0.0000
6,7,2,4.4444,0.9471,0.9471,0.7354,0.7354,0.3967,0.3967,0.1257,0.1257,0.0173
6,7,3,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
6,7,4,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
6,7,5,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
6,7,6,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
6,7,7,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
6,7,8,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
6,7,9,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
6,7,10,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
6,7,11,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
6,7,12,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
6,7,13,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
6,7,14,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
7,7,1,2.2222,0.9471,0.7354,0.3967,0.1257,0.0173,0.0000,0.0000,0.0000,0.0000
7,7,2,4.4444,0.9471,0.9471,0.7354,0.7354,0.3967,0.3967,0.1257,0.1257,0.0173
7,7,3,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
7,7,4,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
7,7,5,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
7,7,6,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
7,7,7,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
7,7,8,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
7,7,9,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
7,7,10,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
7,7,11,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
7,7,12,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
7,7,13,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
7,7,14,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
8,7,1,2.2222,0.9471,0.7354,0.3967,0.1257,0.0173,0.0000,0.0000,0.0000,0.0000
8,7,2,4.4444,0.9471,0.9471,0.7354,0.7354,0.3967,0.3967,0.1257,0.1257,0.0173
8,7,3,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
8,7,4,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
8,7,5,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
8,7,6,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
8,7,7,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
8,7,8,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
8,7,9,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
8,7,10,6.6667,0.9471,0.9471,0.9471,0.7354,0.7354,0.7354,0.3967,0.3967,0.3967
