Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,4.1667,0.9992,0.9881,0.9250,0.7340,0.4083,0.1122,0.0000,0.0000,0.0000
2,7,2,6.9444,0.9992,0.9955,0.9811,0.9460,0.8715,0.7532,0.5877,0.4084,0.2374
2,7,3,8.3333,0.9992,0.9955,0.9848,0.9600,0.9137,0.8399,0.7369,0.6109,0.4735
2,7,4,8.3333,0.9992,0.9955,0.9848,0.9600,0.9137,0.8399,0.7369,0.6109,0.4735
2,7,5,8.3333,0.9992,0.9955,0.9848,0.9600,0.9137,0.8399,0.7369,0.6109,0.4735
2,7,6,8.3333,0.9992,0.9955,0.9848,0.9600,0.9137,0.8399,0.7369,0.6109,0.4735
2,7,7,8.3333,0.9992,0.9955,0.9848,0.9600,0.9137,0.8399,0.7369,0.6109,0.4735
2,7,8,8.3333,0.9992,0.9955,0.9848,0.9600,0.9137,0.8399,0.7369,0.6109,0.4735
2,7,9,8.3333,0.9992,0.9955,0.9848,0.9600,0.9137,0.8399,0.7369,0.6109,0.4735
2,7,10,8.3333,0.9992,0.9955,0.9848,0.9600,0.9137,0.8399,0.7369,0.6109,0.4735
2,7,11,8.3333,0.9992,0.9955,0.9848,0.9600,0.9137,0.8399,0.7369,0.6109,0.4735
2,7,12,8.3333,0.9992,0.9955,0.9848,0.9600,0.9137,0.8399,0.7369,0.6109,0.4735
2,7,13,8.3333,0.9992,0.9955,0.9848,0.9600,0.9137,0.8399,0.7369,0.6109,0.4735
2,7,14,8.3333,0.9992,0.9955,0.9848,0.9600,0.9137,0.8399,0.7369,0.6109,0.4735
3,7,1,3.3333,0.9923,0.9345,0.7538,0.4528,0.1705,0.0294,0.0000,0.0000,0.0000
3,7,2,5.5556,0.9923,0.9730,0.9144,0.8230,0.6723,0.5100,0.3314,0.1961,0.0915
3,7,3,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
3,7,4,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
3,7,5,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
3,7,6,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
3,7,7,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
3,7,8,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
3,7,9,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
3,7,10,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
3,7,11,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
3,7,12,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
3,7,13,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
3,7,14,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
4,7,1,3.3333,0.9923,0.9345,0.7538,0.4528,0.1705,0.0294,0.0000,0.0000,0.0000
4,7,2,5.5556,0.9923,0.9730,0.9144,0.8230,0.6723,0.5100,0.3314,0.1961,0.0915
4,7,3,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
4,7,4,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
4,7,5,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
4,7,6,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
4,7,7,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
4,7,8,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
4,7,9,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
4,7,10,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
4,7,11,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
4,7,12,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
4,7,13,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
4,7,14,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
5,7,1,3.3333,0.9923,0.9345,0.7538,0.4528,0.1705,0.0294,0.0000,0.0000,0.0000
5,7,2,5.5556,0.9923,0.9730,0.9144,0.8230,0.6723,0.5100,0.3314,0.1961,0.0915
5,7,3,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
5,7,4,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
5,7,5,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
5,7,6,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
5,7,7,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
5,7,8,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
5,7,9,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
5,7,10,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
5,7,11,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
5,7,12,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
5,7,13,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
5,7,14,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
6,7,1,2.5000,0.9606,0.7917,0.4902,0.2030,0.0492,0.0052,0.0000,0.0000,0.0000
6,7,2,4.1667,0.9606,0.9043,0.7582,0.6136,0.4139,0.2708,0.1384,0.0703,0.0250
6,7,3,5.0000,0.9606,0.9043,0.8145,0.6806,0.5463,0.4077,0.2798,0.1828,0.1093
6,7,4,5.0000,0.9606,0.9043,0.8145,0.6806,0.5463,0.4077,0.2798,0.1828,0.1093
6,7,5,5.0000,0.9606,0.9043,0.8145,0.6806,0.5463,0.4077,0.2798,0.1828,0.1093
6,7,6,5.0000,0.9606,0.9043,0.8145,0.6806,0.5463,0.4077,0.2798,0.1828,0.1093
6,7,7,5.0000,0.9606,0.9043,0.8145,0.6806,0.5463,0.4077,0.2798,0.1828,0.1093
6,7,8,5.0000,0.9606,0.9043,0.8145,0.6806,0.5463,0.4077,0.2798,0.1828,0.1093
6,7,9,5.0000,0.9606,0.9043,0.8145,0.6806,0.5463,0.4077,0.2798,0.1828,0.1093
6,7,10,5.0000,0.9606,0.9043,0.8145,0.6806,0.5463,0.4077,0.2798,0.1828,0.1093
6,7,11,5.0000,0.9606,0.9043,0.8145,0.6806,0.5463,0.4077,0.2798,0.1828,0.1093
6,7,12,5.0000,0.9606,0.9043,0.8145,0.6806,0.5463,0.4077,0.2798,0.1828,0.1093
6,7,13,5.0000,0.9606,0.9043,0.8145,0.6806,0.5463,0.4077,0.2798,0.1828,0.1093
6,7,14,5.0000,0.9606,0.9043,0.8145,0.6806,0.5463,0.4077,0.2798,0.1828,0.1093
