Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,2.9167,0.9581,0.7822,0.5309,0.3471,0.1823,0.0691,0.0388,0.0045,0.0036
2,7,2,5.8333,0.9581,0.9581,0.7822,0.7822,0.5309,0.5309,0.3471,0.3471,0.1823
2,7,3,5.8333,0.9581,0.9581,0.7822,0.7822,0.5309,0.5309,0.3471,0.3471,0.1823
2,7,4,5.8333,0.9581,0.9581,0.7822,0.7822,0.5309,0.5309,0.3471,0.3471,0.1823
2,7,5,5.8333,0.9581,0.9581,0.7822,0.7822,0.5309,0.5309,0.3471,0.3471,0.1823
2,7,6,5.8333,0.9581,0.9581,0.7822,0.7822,0.5309,0.5309,0.3471,0.3471,0.1823
2,7,7,5.8333,0.9581,0.9581,0.7822,0.7822,0.5309,0.5309,0.3471,0.3471,0.1823
2,7,8,5.8333,0.9581,0.9581,0.7822,0.7822,0.5309,0.5309,0.3471,0.3471,0.1823
2,7,9,5.8333,0.9581,0.9581,0.7822,0.7822,0.5309,0.5309,0.3471,0.3471,0.1823
2,7,10,5.8333,0.9581,0.9581,0.7822,0.7822,0.5309,0.5309,0.3471,0.3471,0.1823
2,7,11,5.8333,0.9581,0.9581,0.7822,0.7822,0.5309,0.5309,0.3471,0.3471,0.1823
2,7,12,5.8333,0.9581,0.9581,0.7822,0.7822,0.5309,0.5309,0.3471,0.3471,0.1823
2,7,13,5.8333,0.9581,0.9581,0.7822,0.7822,0.5309,0.5309,0.3471,0.3471,0.1823
2,7,14,5.8333,0.9581,0.9581,0.7822,0.7822,0.5309,0.5309,0.3471,0.3471,0.1823
3,7,1,2.6667,0.9411,0.7367,0.4805,0.2901,0.1382,0.0525,0.0226,0.0034,0.0016
3,7,2,5.3333,0.9411,0.9411,0.7367,0.7367,0.4805,0.4805,0.2901,0.2901,0.1382
3,7,3,5.3333,0.9411,0.9411,0.7367,0.7367,0.4805,0.4805,0.2901,0.2901,0.1382
3,7,4,5.3333,0.9411,0.9411,0.7367,0.7367,0.4805,0.4805,0.2901,0.2901,0.1382
3,7,5,5.3333,0.9411,0.9411,0.7367,0.7367,0.4805,0.4805,0.2901,0.2901,0.1382
3,7,6,5.3333,0.9411,0.9411,0.7367,0.7367,0.4805,0.4805,0.2901,0.2901,0.1382
3,7,7,5.3333,0.9411,0.9411,0.7367,0.7367,0.4805,0.4805,0.2901,0.2901,0.1382
3,7,8,5.3333,0.9411,0.9411,0.7367,0.7367,0.4805,0.4805,0.2901,0.2901,0.1382
