Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,1.3889,0.8575,0.4197,0.1116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,7,2,2.7778,0.8575,0.8575,0.4197,0.4197,0.1116,0.1116,0.0000,0.0000,0.0000
2,7,3,4.1667,0.8575,0.8575,0.8575,0.4197,0.4197,0.4197,0.1116,0.1116,0.1116
2,7,4,5.5556,0.8575,0.8575,0.8575,0.8575,0.4197,0.4197,0.4197,0.4197,0.1116
2,7,5,6.7130,0.8575,0.8575,0.8575,0.8575,0.7846,0.4197,0.4197,0.4197,0.4112
2,7,6,7.6389,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.4197,0.4197,0.4112
2,7,7,8.3333,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.4197,0.4112
2,7,8,8.7963,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4112
2,7,9,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
2,7,10,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
2,7,11,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
2,7,12,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
2,7,13,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
2,7,14,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
3,7,1,1.3889,0.8575,0.4197,0.1116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,7,2,2.7778,0.8575,0.8575,0.4197,0.4197,0.1116,0.1116,0.0000,0.0000,0.0000
3,7,3,4.1667,0.8575,0.8575,0.8575,0.4197,0.4197,0.4197,0.1116,0.1116,0.1116
3,7,4,5.5556,0.8575,0.8575,0.8575,0.8575,0.4197,0.4197,0.4197,0.4197,0.1116
3,7,5,6.7130,0.8575,0.8575,0.8575,0.8575,0.7846,0.4197,0.4197,0.4197,0.4112
3,7,6,7.6389,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.4197,0.4197,0.4112
3,7,7,8.3333,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.4197,0.4112
3,7,8,8.7963,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4112
3,7,9,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
3,7,10,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
3,7,11,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
3,7,12,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
3,7,13,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
3,7,14,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
4,7,1,1.3889,0.8575,0.4197,0.1116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,7,2,2.7778,0.8575,0.8575,0.4197,0.4197,0.1116,0.1116,0.0000,0.0000,0.0000
4,7,3,4.1667,0.8575,0.8575,0.8575,0.4197,0.4197,0.4197,0.1116,0.1116,0.1116
4,7,4,5.5556,0.8575,0.8575,0.8575,0.8575,0.4197,0.4197,0.4197,0.4197,0.1116
4,7,5,6.7130,0.8575,0.8575,0.8575,0.8575,0.7846,0.4197,0.4197,0.4197,0.4112
4,7,6,7.6389,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.4197,0.4197,0.4112
4,7,7,8.3333,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.4197,0.4112
4,7,8,8.7963,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4112
4,7,9,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
4,7,10,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
4,7,11,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
4,7,12,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
4,7,13,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
4,7,14,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
5,7,1,1.3889,0.8575,0.4197,0.1116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,7,2,2.7778,0.8575,0.8575,0.4197,0.4197,0.1116,0.1116,0.0000,0.0000,0.0000
5,7,3,4.1667,0.8575,0.8575,0.8575,0.4197,0.4197,0.4197,0.1116,0.1116,0.1116
5,7,4,5.5556,0.8575,0.8575,0.8575,0.8575,0.4197,0.4197,0.4197,0.4197,0.1116
5,7,5,6.7130,0.8575,0.8575,0.8575,0.8575,0.7846,0.4197,0.4197,0.4197,0.4112
5,7,6,7.6389,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.4197,0.4197,0.4112
5,7,7,8.3333,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.4197,0.4112
5,7,8,8.7963,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4112
5,7,9,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
5,7,10,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
5,7,11,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
5,7,12,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
5,7,13,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
5,7,14,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
6,7,1,1.1111,0.7567,0.2972,0.0572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,7,2,2.2222,0.7567,0.7567,0.2972,0.2972,0.0572,0.0572,0.0000,0.0000,0.0000
6,7,3,3.3333,0.7567,0.7567,0.7567,0.2972,0.2972,0.2972,0.0572,0.0572,0.0572
6,7,4,4.4444,0.7567,0.7567,0.7567,0.7567,0.2972,0.2972,0.2972,0.2972,0.0572
6,7,5,5.3704,0.7567,0.7567,0.7567,0.7567,0.6802,0.2972,0.2972,0.2972,0.2905
6,7,6,6.1111,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.2972,0.2972,0.2905
6,7,7,6.6667,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.2972,0.2905
6,7,8,7.0370,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.2905
6,7,9,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
6,7,10,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
6,7,11,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
6,7,12,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
6,7,13,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
6,7,14,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
7,7,1,1.1111,0.7567,0.2972,0.0572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,7,2,2.2222,0.7567,0.7567,0.2972,0.2972,0.0572,0.0572,0.0000,0.0000,0.0000
7,7,3,3.3333,0.7567,0.7567,0.7567,0.2972,0.2972,0.2972,0.0572,0.0572,0.0572
7,7,4,4.4444,0.7567,0.7567,0.7567,0.7567,0.2972,0.2972,0.2972,0.2972,0.0572
7,7,5,5.3704,0.7567,0.7567,0.7567,0.7567,0.6802,0.2972,0.2972,0.2972,0.2905
7,7,6,6.1111,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.2972,0.2972,0.2905
7,7,7,6.6667,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.2972,0.2905
7,7,8,7.0370,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.2905
7,7,9,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
7,7,10,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
7,7,11,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
7,7,12,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
7,7,13,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
7,7,14,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
8,7,1,1.1111,0.7567,0.2972,0.0572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,7,2,2.2222,0.7567,0.7567,0.2972,0.2972,0.0572,0.0572,0.0000,0.0000,0.0000
8,7,3,3.3333,0.7567,0.7567,0.7567,0.2972,0.2972,0.2972,0.0572,0.0572,0.0572
8,7,4,4.4444,0.7567,0.7567,0.7567,0.7567,0.2972,0.2972,0.2972,0.2972,0.0572
8,7,5,5.3704,0.7567,0.7567,0.7567,0.7567,0.6802,0.2972,0.2972,0.2972,0.2905
8,7,6,6.1111,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.2972,0.2972,0.2905
8,7,7,6.6667,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.2972,0.2905
8,7,8,7.0370,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.2905
8,7,9,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
8,7,10,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
8,7,11,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
8,7,12,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
8,7,13,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
8,7,14,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
9,7,1,1.1111,0.7567,0.2972,0.0572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,7,2,2.2222,0.7567,0.7567,0.2972,0.2972,0.0572,0.0572,0.0000,0.0000,0.0000
9,7,3,3.3333,0.7567,0.7567,0.7567,0.2972,0.2972,0.2972,0.0572,0.0572,0.0572
9,7,4,4.4444,0.7567,0.7567,0.7567,0.7567,0.2972,0.2972,0.2972,0.2972,0.0572
9,7,5,5.3704,0.7567,0.7567,0.7567,0.7567,0.6802,0.2972,0.2972,0.2972,0.2905
9,7,6,6.1111,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.2972,0.2972,0.2905
9,7,7,6.6667,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.2972,0.2905
9,7,8,7.0370,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.2905
9,7,9,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
9,7,10,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
9,7,11,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
9,7,12,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
9,7,13,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
9,7,14,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
10,7,1,1.1111,0.7567,0.2972,0.0572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,7,2,2.2222,0.7567,0.7567,0.2972,0.2972,0.0572,0.0572,0.0000,0.0000,0.0000
10,7,3,3.3333,0.7567,0.7567,0.7567,0.2972,0.2972,0.2972,0.0572,0.0572,0.0572
10,7,4,4.4444,0.7567,0.7567,0.7567,0.7567,0.2972,0.2972,0.2972,0.2972,0.0572
10,7,5,5.3704,0.7567,0.7567,0.7567,0.7567,0.6802,0.2972,0.2972,0.2972,0.2905
10,7,6,6.1111,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.2972,0.2972,0.2905
10,7,7,6.6667,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.2972,0.2905
10,7,8,7.0370,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.2905
10,7,9,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
10,7,10,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
10,7,11,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
10,7,12,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
10,7,13,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
10,7,14,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
11,7,1,1.1111,0.7567,0.2972,0.0572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,7,2,2.2222,0.7567,0.7567,0.2972,0.2972,0.0572,0.0572,0.0000,0.0000,0.0000
11,7,3,3.3333,0.7567,0.7567,0.7567,0.2972,0.2972,0.2972,0.0572,0.0572,0.0572
11,7,4,4.4444,0.7567,0.7567,0.7567,0.7567,0.2972,0.2972,0.2972,0.2972,0.0572
11,7,5,5.3704,0.7567,0.7567,0.7567,0.7567,0.6802,0.2972,0.2972,0.2972,0.2905
11,7,6,6.1111,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.2972,0.2972,0.2905
11,7,7,6.6667,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.2972,0.2905
11,7,8,7.0370,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.2905
11,7,9,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
11,7,10,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
11,7,11,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
11,7,12,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
11,7,13,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
11,7,14,7.2222,0.7567,0.7567,0.7567,0.7567,0.6802,0.6036,0.5270,0.4504,0.3671
12,7,1,0.8333,0.6260,0.1833,0.0241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,7,2,1.6667,0.6260,0.6260,0.1833,0.1833,0.0241,0.0241,0.0000,0.0000,0.0000
12,7,3,2.5000,0.6260,0.6260,0.6260,0.1833,0.1833,0.1833,0.0241,0.0241,0.0241
12,7,4,3.3333,0.6260,0.6260,0.6260,0.6260,0.1833,0.1833,0.1833,0.1833,0.0241
12,7,5,4.0278,0.6260,0.6260,0.6260,0.6260,0.5522,0.1833,0.1833,0.1833,0.1788
12,7,6,4.5833,0.6260,0.6260,0.6260,0.6260,0.5522,0.4784,0.1833,0.1833,0.1788
12,7,7,5.0000,0.6260,0.6260,0.6260,0.6260,0.5522,0.4784,0.4046,0.1833,0.1788
12,7,8,5.2778,0.6260,0.6260,0.6260,0.6260,0.5522,0.4784,0.4046,0.3308,0.1788
12,7,9,5.4167,0.6260,0.6260,0.6260,0.6260,0.5522,0.4784,0.4046,0.3308,0.2526
12,7,10,5.4167,0.6260,0.6260,0.6260,0.6260,0.5522,0.4784,0.4046,0.3308,0.2526
12,7,11,5.4167,0.6260,0.6260,0.6260,0.6260,0.5522,0.4784,0.4046,0.3308,0.2526
12,7,12,5.4167,0.6260,0.6260,0.6260,0.6260,0.5522,0.4784,0.4046,0.3308,0.2526
12,7,13,5.4167,0.6260,0.6260,0.6260,0.6260,0.5522,0.4784,0.4046,0.3308,0.2526
12,7,14,5.4167,0.6260,0.6260,0.6260,0.6260,0.5522,0.4784,0.4046,0.3308,0.2526
13,7,1,0.5556,0.4598,0.0886,0.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,7,2,1.1111,0.4598,0.4598,0.0886,0.0886,0.0071,0.0071,0.0000,0.0000,0.0000
13,7,3,1.6667,0.4598,0.4598,0.4598,0.0886,0.0886,0.0886,0.0071,0.0071,0.0071
13,7,4,2.2222,0.4598,0.4598,0.4598,0.4598,0.0886,0.0886,0.0886,0.0886,0.0071
13,7,5,2.6852,0.4598,0.4598,0.4598,0.4598,0.3979,0.0886,0.0886,0.0886,0.0863
13,7,6,3.0556,0.4598,0.4598,0.4598,0.4598,0.3979,0.3361,0.0886,0.0886,0.0863
13,7,7,3.3333,0.4598,0.4598,0.4598,0.4598,0.3979,0.3361,0.2742,0.0886,0.0863
13,7,8,3.5185,0.4598,0.4598,0.4598,0.4598,0.3979,0.3361,0.2742,0.2123,0.0863
13,7,9,3.6111,0.4598,0.4598,0.4598,0.4598,0.3979,0.3361,0.2742,0.2123,0.1482
13,7,10,3.6111,0.4598,0.4598,0.4598,0.4598,0.3979,0.3361,0.2742,0.2123,0.1482
13,7,11,3.6111,0.4598,0.4598,0.4598,0.4598,0.3979,0.3361,0.2742,0.2123,0.1482
13,7,12,3.6111,0.4598,0.4598,0.4598,0.4598,0.3979,0.3361,0.2742,0.2123,0.1482
13,7,13,3.6111,0.4598,0.4598,0.4598,0.4598,0.3979,0.3361,0.2742,0.2123,0.1482
13,7,14,3.6111,0.4598,0.4598,0.4598,0.4598,0.3979,0.3361,0.2742,0.2123,0.1482
14,7,1,0.5556,0.4598,0.0886,0.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,7,2,1.1111,0.4598,0.4598,0.0886,0.0886,0.0071,0.0071,0.0000,0.0000,0.0000
14,7,3,1.6667,0.4598,0.4598,0.4598,0.0886,0.0886,0.0886,0.0071,0.0071,0.0071
14,7,4,2.2222,0.4598,0.4598,0.4598,0.4598,0.0886,0.0886,0.0886,0.0886,0.0071
14,7,5,2.6852,0.4598,0.4598,0.4598,0.4598,0.3979,0.0886,0.0886,0.0886,0.0863
14,7,6,3.0556,0.4598,0.4598,0.4598,0.4598,0.3979,0.3361,0.0886,0.0886,0.0863
14,7,7,3.3333,0.4598,0.4598,0.4598,0.4598,0.3979,0.3361,0.2742,0.0886,0.0863
14,7,8,3.5185,0.4598,0.4598,0.4598,0.4598,0.3979,0.3361,0.2742,0.2123,0.0863
14,7,9,3.6111,0.4598,0.4598,0.4598,0.4598,0.3979,0.3361,0.2742,0.2123,0.1482
14,7,10,3.6111,0.4598,0.4598,0.4598,0.4598,0.3979,0.3361,0.2742,0.2123,0.1482
14,7,11,3.6111,0.4598,0.4598,0.4598,0.4598,0.3979,0.3361,0.2742,0.2123,0.1482
14,7,12,3.6111,0.4598,0.4598,0.4598,0.4598,0.3979,0.3361,0.2742,0.2123,0.1482
14,7,13,3.6111,0.4598,0.4598,0.4598,0.4598,0.3979,0.3361,0.2742,0.2123,0.1482
14,7,14,3.6111,0.4598,0.4598,0.4598,0.4598,0.3979,0.3361,0.2742,0.2123,0.1482
2,6,1,1.3889,0.8575,0.4197,0.1116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,6,2,2.7778,0.8575,0.8575,0.4197,0.4197,0.1116,0.1116,0.0000,0.0000,0.0000
2,6,3,4.1667,0.8575,0.8575,0.8575,0.4197,0.4197,0.4197,0.1116,0.1116,0.1116
2,6,4,5.5556,0.8575,0.8575,0.8575,0.8575,0.4197,0.4197,0.4197,0.4197,0.1116
2,6,5,6.7130,0.8575,0.8575,0.8575,0.8575,0.7846,0.4197,0.4197,0.4197,0.4112
2,6,6,7.6389,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.4197,0.4197,0.4112
2,6,7,8.3333,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.4197,0.4112
2,6,8,8.7963,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4112
2,6,9,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
2,6,10,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
2,6,11,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
2,6,12,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
2,6,13,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
2,6,14,9.0278,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.5657,0.4841
3,6,1,1.3889,0.8575,0.4197,0.1116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,6,2,2.7778,0.8575,0.8575,0.4197,0.4197,0.1116,0.1116,0.0000,0.0000,0.0000
3,6,3,4.1667,0.8575,0.8575,0.8575,0.4197,0.4197,0.4197,0.1116,0.1116,0.1116
3,6,4,5.5556,0.8575,0.8575,0.8575,0.8575,0.4197,0.4197,0.4197,0.4197,0.1116
3,6,5,6.7130,0.8575,0.8575,0.8575,0.8575,0.7846,0.4197,0.4197,0.4197,0.4112
3,6,6,7.6389,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.4197,0.4197,0.4112
3,6,7,8.3333,0.8575,0.8575,0.8575,0.8575,0.7846,0.7116,0.6386,0.4197,0.4112
