Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,4.1667,0.9992,0.9881,0.9250,0.7340,0.4083,0.1122,0.0000,0.0000,0.0000
2,7,2,8.3333,0.9992,0.9992,0.9881,0.9881,0.9250,0.9250,0.7340,0.7340,0.4083
2,7,3,12.5000,0.9992,0.9992,0.9992,0.9881,0.9881,0.9881,0.9250,0.9250,0.9250
2,7,4,15.9722,0.9992,0.9992,0.9992,0.9973,0.9881,0.9881,0.9863,0.9688,0.9250
2,7,5,18.7500,0.9992,0.9992,0.9992,0.9973,0.9955,0.9881,0.9863,0.9828,0.9671
2,7,6,20.8333,0.9992,0.9992,0.9992,0.9973,0.9955,0.9936,0.9863,0.9828,0.9776
2,7,7,22.2222,0.9992,0.9992,0.9992,0.9973,0.9955,0.9936,0.9900,0.9828,0.9776
2,7,8,22.9167,0.9992,0.9992,0.9992,0.9973,0.9955,0.9936,0.9900,0.9847,0.9776
2,7,9,22.9167,0.9992,0.9992,0.9992,0.9973,0.9955,0.9936,0.9900,0.9847,0.9776
2,7,10,22.9167,0.9992,0.9992,0.9992,0.9973,0.9955,0.9936,0.9900,0.9847,0.9776
2,7,11,22.9167,0.9992,0.9992,0.9992,0.9973,0.9955,0.9936,0.9900,0.9847,0.9776
2,7,12,22.9167,0.9992,0.9992,0.9992,0.9973,0.9955,0.9936,0.9900,0.9847,0.9776
2,7,13,22.9167,0.9992,0.9992,0.9992,0.9973,0.9955,0.9936,0.9900,0.9847,0.9776
2,7,14,22.9167,0.9992,0.9992,0.9992,0.9973,0.9955,0.9936,0.9900,0.9847,0.9776
3,7,1,4.1667,0.9992,0.9881,0.9250,0.7340,0.4083,0.1122,0.0000,0.0000,0.0000
3,7,2,8.3333,0.9992,0.9992,0.9881,0.9881,0.9250,0.9250,0.7340,0.7340,0.4083
3,7,3,12.5000,0.9992,0.9992,0.9992,0.9881,0.9881,0.9881,0.9250,0.9250,0.9250
3,7,4,15.9722,0.9992,0.9992,0.9992,0.9973,0.9881,0.9881,0.9863,0.9688,0.9250
3,7,5,18.7500,0.9992,0.9992,0.9992,0.9973,0.9955,0.9881,0.9863,0.9828,0.9671
3,7,6,20.8333,0.9992,0.9992,0.9992,0.9973,0.9955,0.9936,0.9863,0.9828,0.9776
3,7,7,22.2222,0.9992,0.9992,0.9992,0.9973,0.9955,0.9936,0.9900,0.9828,0.9776
3,7,8,22.9167,0.9992,0.9992,0.9992,0.9973,0.9955,0.9936,0.9900,0.9847,0.9776
3,7,9,22.9167,0.9992,0.9992,0.9992,0.9973,0.9955,0.9936,0.9900,0.9847,0.9776
3,7,10,22.9167,0.9992,0.9992,0.9992,0.9973,0.9955,0.9936,0.9900,0.9847,0.9776
3,7,11,22.9167,0.9992,0.9992,0.9992,0.9973,0.9955,0.9936,0.9900,0.9847,0.9776
3,7,12,22.9167,0.9992,0.9992,0.9992,0.9973,0.9955,0.9936,0.9900,0.9847,0.9776
3,7,13,22.9167,0.9992,0.9992,0.9992,0.9973,0.9955,0.9936,0.9900,0.9847,0.9776
3,7,14,22.9167,0.9992,0.9992,0.9992,0.9973,0.9955,0.9936,0.9900,0.9847,0.9776
4,7,1,4.1667,0.9992,0.9881,0.9250,0.7340,0.4083,0.1122,0.0000,0.0000,0.0000
4,7,2,8.3333,0.9992,0.9992,0.9881,0.9881,0.9250,0.9250,0.7340,0.7340,0.4083
4,7,3,12.5000,0.9992,0.9992,0.9992,0.9881,0.9881,0.9881,0.9250,0.9250,0.9250
4,7,4,15.9722,0.9992,0.9992,0.9992,0.9973,0.9881,0.9881,0.9863,0.9688,0.9250
