Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,9.7222,1.0000,1.0000,1.0000,0.9997,0.9981,0.9905,0.9650,0.8985,0.7663
2,7,2,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
2,7,3,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
2,7,4,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
2,7,5,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
2,7,6,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
2,7,7,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
2,7,8,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
2,7,9,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
2,7,10,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
2,7,11,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
2,7,12,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
2,7,13,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
2,7,14,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
3,7,1,9.7222,1.0000,1.0000,1.0000,0.9997,0.9981,0.9905,0.9650,0.8985,0.7663
3,7,2,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
3,7,3,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
3,7,4,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
3,7,5,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
3,7,6,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
3,7,7,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
3,7,8,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
3,7,9,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
3,7,10,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
3,7,11,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
3,7,12,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
3,7,13,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
3,7,14,19.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9997,0.9981
4,7,1,7.7778,1.0000,0.9998,0.9981,0.9898,0.9611,0.8894,0.7550,0.5630,0.3529
4,7,2,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
4,7,3,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
4,7,4,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
4,7,5,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
4,7,6,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
4,7,7,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
4,7,8,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
4,7,9,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
4,7,10,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
4,7,11,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
4,7,12,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
4,7,13,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
4,7,14,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
5,7,1,7.7778,1.0000,0.9998,0.9981,0.9898,0.9611,0.8894,0.7550,0.5630,0.3529
5,7,2,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
5,7,3,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
5,7,4,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
5,7,5,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
5,7,6,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
5,7,7,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
5,7,8,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
5,7,9,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
5,7,10,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
5,7,11,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
5,7,12,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
5,7,13,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
5,7,14,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
6,7,1,7.7778,1.0000,0.9998,0.9981,0.9898,0.9611,0.8894,0.7550,0.5630,0.3529
6,7,2,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
6,7,3,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
6,7,4,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
6,7,5,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
6,7,6,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
6,7,7,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
6,7,8,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
6,7,9,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
6,7,10,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
6,7,11,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
6,7,12,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
6,7,13,15.5556,1.0000,1.0000,0.9998,0.9998,0.9981,0.9981,0.9898,0.9898,0.9611
