Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,3.4722,0.9973,0.9671,0.8295,0.5168,0.1615,0.0000,0.0000,0.0000,0.0000
2,7,2,6.9444,0.9973,0.9973,0.9671,0.9671,0.8295,0.8295,0.5168,0.5168,0.1615
2,7,3,10.4167,0.9973,0.9973,0.9973,0.9671,0.9671,0.9671,0.8295,0.8295,0.8295
2,7,4,13.3102,0.9973,0.9973,0.9973,0.9923,0.9671,0.9671,0.9632,0.9250,0.8295
2,7,5,15.6250,0.9973,0.9973,0.9973,0.9923,0.9872,0.9671,0.9632,0.9556,0.9212
2,7,6,17.3611,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9632,0.9556,0.9441
2,7,7,18.5185,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9556,0.9441
2,7,8,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
2,7,9,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
2,7,10,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
2,7,11,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
2,7,12,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
2,7,13,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
2,7,14,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
3,7,1,3.4722,0.9973,0.9671,0.8295,0.5168,0.1615,0.0000,0.0000,0.0000,0.0000
3,7,2,6.9444,0.9973,0.9973,0.9671,0.9671,0.8295,0.8295,0.5168,0.5168,0.1615
3,7,3,10.4167,0.9973,0.9973,0.9973,0.9671,0.9671,0.9671,0.8295,0.8295,0.8295
3,7,4,13.3102,0.9973,0.9973,0.9973,0.9923,0.9671,0.9671,0.9632,0.9250,0.8295
3,7,5,15.6250,0.9973,0.9973,0.9973,0.9923,0.9872,0.9671,0.9632,0.9556,0.9212
3,7,6,17.3611,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9632,0.9556,0.9441
3,7,7,18.5185,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9556,0.9441
3,7,8,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
3,7,9,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
3,7,10,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
3,7,11,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
3,7,12,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
3,7,13,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
3,7,14,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
4,7,1,3.4722,0.9973,0.9671,0.8295,0.5168,0.1615,0.0000,0.0000,0.0000,0.0000
4,7,2,6.9444,0.9973,0.9973,0.9671,0.9671,0.8295,0.8295,0.5168,0.5168,0.1615
4,7,3,10.4167,0.9973,0.9973,0.9973,0.9671,0.9671,0.9671,0.8295,0.8295,0.8295
4,7,4,13.3102,0.9973,0.9973,0.9973,0.9923,0.9671,0.9671,0.9632,0.9250,0.8295
4,7,5,15.6250,0.9973,0.9973,0.9973,0.9923,0.9872,0.9671,0.9632,0.9556,0.9212
4,7,6,17.3611,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9632,0.9556,0.9441
4,7,7,18.5185,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9556,0.9441
4,7,8,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
4,7,9,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
4,7,10,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
4,7,11,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
4,7,12,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
4,7,13,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
4,7,14,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
5,7,1,3.4722,0.9973,0.9671,0.8295,0.5168,0.1615,0.0000,0.0000,0.0000,0.0000
5,7,2,6.9444,0.9973,0.9973,0.9671,0.9671,0.8295,0.8295,0.5168,0.5168,0.1615
5,7,3,10.4167,0.9973,0.9973,0.9973,0.9671,0.9671,0.9671,0.8295,0.8295,0.8295
5,7,4,13.3102,0.9973,0.9973,0.9973,0.9923,0.9671,0.9671,0.9632,0.9250,0.8295
5,7,5,15.6250,0.9973,0.9973,0.9973,0.9923,0.9872,0.9671,0.9632,0.9556,0.9212
5,7,6,17.3611,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9632,0.9556,0.9441
5,7,7,18.5185,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9556,0.9441
5,7,8,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
5,7,9,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
5,7,10,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
5,7,11,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
5,7,12,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
5,7,13,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
5,7,14,19.0972,0.9973,0.9973,0.9973,0.9923,0.9872,0.9822,0.9733,0.9606,0.9441
6,7,1,2.7778,0.9827,0.8743,0.6033,0.2646,0.0529,0.0000,0.0000,0.0000,0.0000
6,7,2,5.5556,0.9827,0.9827,0.8743,0.8743,0.6033,0.6033,0.2646,0.2646,0.0529
6,7,3,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
6,7,4,10.6481,0.9827,0.9827,0.9827,0.9646,0.8743,0.8743,0.8667,0.7915,0.6033
6,7,5,12.5000,0.9827,0.9827,0.9827,0.9646,0.9465,0.8743,0.8667,0.8517,0.7840
6,7,6,13.8889,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.8667,0.8517,0.8291
6,7,7,14.8148,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8517,0.8291
6,7,8,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
6,7,9,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
6,7,10,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
6,7,11,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
6,7,12,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
6,7,13,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
6,7,14,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
7,7,1,2.7778,0.9827,0.8743,0.6033,0.2646,0.0529,0.0000,0.0000,0.0000,0.0000
7,7,2,5.5556,0.9827,0.9827,0.8743,0.8743,0.6033,0.6033,0.2646,0.2646,0.0529
7,7,3,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
7,7,4,10.6481,0.9827,0.9827,0.9827,0.9646,0.8743,0.8743,0.8667,0.7915,0.6033
7,7,5,12.5000,0.9827,0.9827,0.9827,0.9646,0.9465,0.8743,0.8667,0.8517,0.7840
7,7,6,13.8889,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.8667,0.8517,0.8291
7,7,7,14.8148,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8517,0.8291
7,7,8,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
7,7,9,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
7,7,10,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
7,7,11,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
7,7,12,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
7,7,13,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
7,7,14,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
8,7,1,2.7778,0.9827,0.8743,0.6033,0.2646,0.0529,0.0000,0.0000,0.0000,0.0000
8,7,2,5.5556,0.9827,0.9827,0.8743,0.8743,0.6033,0.6033,0.2646,0.2646,0.0529
8,7,3,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
8,7,4,10.6481,0.9827,0.9827,0.9827,0.9646,0.8743,0.8743,0.8667,0.7915,0.6033
8,7,5,12.5000,0.9827,0.9827,0.9827,0.9646,0.9465,0.8743,0.8667,0.8517,0.7840
8,7,6,13.8889,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.8667,0.8517,0.8291
8,7,7,14.8148,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8517,0.8291
8,7,8,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
8,7,9,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
8,7,10,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
8,7,11,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
8,7,12,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
8,7,13,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
8,7,14,15.2778,0.9827,0.9827,0.9827,0.9646,0.9465,0.9285,0.9029,0.8698,0.8291
9,7,1,2.7778,0.9827,0.8743,0.6033,0.2646,0.0529,0.0000,0.0000,0.0000,0.0000
9,7,2,5.5556,0.9827,0.9827,0.8743,0.8743,0.6033,0.6033,0.2646,0.2646,0.0529
9,7,3,8.3333,0.9827,0.9827,0.9827,0.8743,0.8743,0.8743,0.6033,0.6033,0.6033
9,7,4,10.6481,0.9827,0.9827,0.9827,0.9646,0.8743,0.8743,0.8667,0.7915,0.6033
9,7,5,12.5000,0.9827,0.9827,0.9827,0.9646,0.9465,0.8743,0.8667,0.8517,0.7840
