Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,6.9444,1.0000,0.9998,0.9982,0.9882,0.9484,0.8400,0.6347,0.3681,0.1409
2,7,2,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
2,7,3,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
2,7,4,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
2,7,5,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
2,7,6,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
2,7,7,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
2,7,8,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
2,7,9,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
2,7,10,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
2,7,11,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
2,7,12,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
2,7,13,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
2,7,14,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
3,7,1,6.9444,1.0000,0.9998,0.9982,0.9882,0.9484,0.8400,0.6347,0.3681,0.1409
3,7,2,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
3,7,3,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
3,7,4,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
3,7,5,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
3,7,6,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
3,7,7,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
3,7,8,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
3,7,9,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
3,7,10,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
3,7,11,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
3,7,12,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
3,7,13,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
3,7,14,13.8889,1.0000,1.0000,0.9998,0.9998,0.9982,0.9982,0.9882,0.9882,0.9484
4,7,1,5.5556,0.9997,0.9959,0.9748,0.9043,0.7501,0.5189,0.2779,0.1059,0.0252
4,7,2,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
4,7,3,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
4,7,4,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
4,7,5,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
4,7,6,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
4,7,7,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
4,7,8,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
4,7,9,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
4,7,10,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
4,7,11,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
4,7,12,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
4,7,13,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
4,7,14,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
5,7,1,5.5556,0.9997,0.9959,0.9748,0.9043,0.7501,0.5189,0.2779,0.1059,0.0252
5,7,2,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
5,7,3,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
5,7,4,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
5,7,5,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
5,7,6,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
5,7,7,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
5,7,8,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
5,7,9,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
5,7,10,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
5,7,11,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
5,7,12,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
5,7,13,11.1111,0.9997,0.9997,0.9959,0.9959,0.9748,0.9748,0.9043,0.9043,0.7501
