Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,6.3194,0.9986,0.9862,0.9407,0.8485,0.7229,0.5814,0.4385,0.3119,0.2076
2,7,2,12.6389,0.9986,0.9986,0.9862,0.9862,0.9407,0.9407,0.8485,0.8485,0.7229
2,7,3,12.6389,0.9986,0.9986,0.9862,0.9862,0.9407,0.9407,0.8485,0.8485,0.7229
2,7,4,12.6389,0.9986,0.9986,0.9862,0.9862,0.9407,0.9407,0.8485,0.8485,0.7229
2,7,5,12.6389,0.9986,0.9986,0.9862,0.9862,0.9407,0.9407,0.8485,0.8485,0.7229
2,7,6,12.6389,0.9986,0.9986,0.9862,0.9862,0.9407,0.9407,0.8485,0.8485,0.7229
2,7,7,12.6389,0.9986,0.9986,0.9862,0.9862,0.9407,0.9407,0.8485,0.8485,0.7229
2,7,8,12.6389,0.9986,0.9986,0.9862,0.9862,0.9407,0.9407,0.8485,0.8485,0.7229
2,7,9,12.6389,0.9986,0.9986,0.9862,0.9862,0.9407,0.9407,0.8485,0.8485,0.7229
2,7,10,12.6389,0.9986,0.9986,0.9862,0.9862,0.9407,0.9407,0.8485,0.8485,0.7229
2,7,11,12.6389,0.9986,0.9986,0.9862,0.9862,0.9407,0.9407,0.8485,0.8485,0.7229
2,7,12,12.6389,0.9986,0.9986,0.9862,0.9862,0.9407,0.9407,0.8485,0.8485,0.7229
2,7,13,12.6389,0.9986,0.9986,0.9862,0.9862,0.9407,0.9407,0.8485,0.8485,0.7229
2,7,14,12.6389,0.9986,0.9986,0.9862,0.9862,0.9407,0.9407,0.8485,0.8485,0.7229
3,7,1,6.3194,0.9986,0.9862,0.9407,0.8485,0.7229,0.5814,0.4385,0.3119,0.2076
3,7,2,12.6389,0.9986,0.9986,0.9862,0.9862,0.9407,0.9407,0.8485,0.8485,0.7229
3,7,3,12.6389,0.9986,0.9986,0.9862,0.9862,0.9407,0.9407,0.8485,0.8485,0.7229
