Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,1.8750,0.8693,0.5747,0.2873,0.1094,0.0292,0.0048,0.0004,0.0000,0.0000
2,7,2,3.7500,0.8693,0.8693,0.5747,0.5747,0.2873,0.2873,0.1094,0.1094,0.0292
2,7,3,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
2,7,4,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
2,7,5,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
2,7,6,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
2,7,7,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
2,7,8,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
2,7,9,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
2,7,10,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
2,7,11,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
2,7,12,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
2,7,13,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
2,7,14,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
3,7,1,1.8750,0.8693,0.5747,0.2873,0.1094,0.0292,0.0048,0.0004,0.0000,0.0000
3,7,2,3.7500,0.8693,0.8693,0.5747,0.5747,0.2873,0.2873,0.1094,0.1094,0.0292
3,7,3,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
3,7,4,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
3,7,5,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
3,7,6,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
3,7,7,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
3,7,8,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
3,7,9,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
3,7,10,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
3,7,11,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
3,7,12,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
3,7,13,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
3,7,14,5.6250,0.8693,0.8693,0.8693,0.5747,0.5747,0.5747,0.2873,0.2873,0.2873
4,7,1,1.8750,0.8693,0.5747,0.2873,0.1094,0.0292,0.0048,0.0004,0.0000,0.0000
