Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,2.0833,0.9325,0.6912,0.3466,0.1005,0.0126,0.0000,0.0000,0.0000,0.0000
2,7,2,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
2,7,3,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
2,7,4,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
2,7,5,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
2,7,6,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
2,7,7,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
2,7,8,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
2,7,9,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
2,7,10,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
2,7,11,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
2,7,12,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
2,7,13,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
2,7,14,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
3,7,1,2.0833,0.9325,0.6912,0.3466,0.1005,0.0126,0.0000,0.0000,0.0000,0.0000
3,7,2,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
3,7,3,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
3,7,4,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
3,7,5,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
3,7,6,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
3,7,7,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
3,7,8,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
3,7,9,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
3,7,10,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
3,7,11,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
3,7,12,4.1667,0.9325,0.9325,0.6912,0.6912,0.3466,0.3466,0.1005,0.1005,0.0126
