Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,3.4375,0.9255,0.7907,0.6326,0.4596,0.2960,0.1741,0.0926,0.0423,0.0166
2,7,2,6.8750,0.9255,0.9255,0.7907,0.7907,0.6326,0.6326,0.4596,0.4596,0.2960
2,7,3,9.7396,0.9255,0.9255,0.9030,0.7907,0.7863,0.7424,0.6318,0.6198,0.5596
2,7,4,12.0312,0.9255,0.9255,0.9030,0.8806,0.7863,0.7775,0.7372,0.6997,0.6173
2,7,5,13.7500,0.9255,0.9255,0.9030,0.8806,0.8537,0.7775,0.7636,0.7260,0.6904
2,7,6,14.8958,0.9255,0.9255,0.9030,0.8806,0.8537,0.8225,0.7636,0.7436,0.7079
2,7,7,15.4688,0.9255,0.9255,0.9030,0.8806,0.8537,0.8225,0.7860,0.7436,0.7167
2,7,8,15.4688,0.9255,0.9255,0.9030,0.8806,0.8537,0.8225,0.7860,0.7436,0.7167
2,7,9,15.4688,0.9255,0.9255,0.9030,0.8806,0.8537,0.8225,0.7860,0.7436,0.7167
2,7,10,15.4688,0.9255,0.9255,0.9030,0.8806,0.8537,0.8225,0.7860,0.7436,0.7167
2,7,11,15.4688,0.9255,0.9255,0.9030,0.8806,0.8537,0.8225,0.7860,0.7436,0.7167
2,7,12,15.4688,0.9255,0.9255,0.9030,0.8806,0.8537,0.8225,0.7860,0.7436,0.7167
2,7,13,15.4688,0.9255,0.9255,0.9030,0.8806,0.8537,0.8225,0.7860,0.7436,0.7167
2,7,14,15.4688,0.9255,0.9255,0.9030,0.8806,0.8537,0.8225,0.7860,0.7436,0.7167
3,7,1,3.4375,0.9255,0.7907,0.6326,0.4596,0.2960,0.1741,0.0926,0.0423,0.0166
3,7,2,6.8750,0.9255,0.9255,0.7907,0.7907,0.6326,0.6326,0.4596,0.4596,0.2960
3,7,3,9.7396,0.9255,0.9255,0.9030,0.7907,0.7863,0.7424,0.6318,0.6198,0.5596
3,7,4,12.0312,0.9255,0.9255,0.9030,0.8806,0.7863,0.7775,0.7372,0.6997,0.6173
3,7,5,13.7500,0.9255,0.9255,0.9030,0.8806,0.8537,0.7775,0.7636,0.7260,0.6904
3,7,6,14.8958,0.9255,0.9255,0.9030,0.8806,0.8537,0.8225,0.7636,0.7436,0.7079
3,7,7,15.4688,0.9255,0.9255,0.9030,0.8806,0.8537,0.8225,0.7860,0.7436,0.7167
