Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,4.7500,0.9662,0.9173,0.8212,0.6869,0.5295,0.3746,0.2340,0.1286,0.0609
2,7,2,9.5000,0.9662,0.9662,0.9173,0.9173,0.8212,0.8212,0.6869,0.6869,0.5295
2,7,3,13.4583,0.9662,0.9662,0.9581,0.9173,0.9147,0.8880,0.8206,0.8112,0.7645
2,7,4,16.6250,0.9662,0.9662,0.9581,0.9499,0.9147,0.9093,0.8847,0.8614,0.8093
2,7,5,19.0000,0.9662,0.9662,0.9581,0.9499,0.9391,0.9093,0.9007,0.8775,0.8549
2,7,6,20.5833,0.9662,0.9662,0.9581,0.9499,0.9391,0.9256,0.9007,0.8881,0.8656
2,7,7,21.3750,0.9662,0.9662,0.9581,0.9499,0.9391,0.9256,0.9088,0.8881,0.8709
2,7,8,21.3750,0.9662,0.9662,0.9581,0.9499,0.9391,0.9256,0.9088,0.8881,0.8709
2,7,9,21.3750,0.9662,0.9662,0.9581,0.9499,0.9391,0.9256,0.9088,0.8881,0.8709
2,7,10,21.3750,0.9662,0.9662,0.9581,0.9499,0.9391,0.9256,0.9088,0.8881,0.8709
2,7,11,21.3750,0.9662,0.9662,0.9581,0.9499,0.9391,0.9256,0.9088,0.8881,0.8709
2,7,12,21.3750,0.9662,0.9662,0.9581,0.9499,0.9391,0.9256,0.9088,0.8881,0.8709
2,7,13,21.3750,0.9662,0.9662,0.9581,0.9499,0.9391,0.9256,0.9088,0.8881,0.8709
2,7,14,21.3750,0.9662,0.9662,0.9581,0.9499,0.9391,0.9256,0.9088,0.8881,0.8709
3,7,1,4.7500,0.9662,0.9173,0.8212,0.6869,0.5295,0.3746,0.2340,0.1286,0.0609
3,7,2,9.5000,0.9662,0.9662,0.9173,0.9173,0.8212,0.8212,0.6869,0.6869,0.5295
3,7,3,13.4583,0.9662,0.9662,0.9581,0.9173,0.9147,0.8880,0.8206,0.8112,0.7645
3,7,4,16.6250,0.9662,0.9662,0.9581,0.9499,0.9147,0.9093,0.8847,0.8614,0.8093
3,7,5,19.0000,0.9662,0.9662,0.9581,0.9499,0.9391,0.9093,0.9007,0.8775,0.8549
3,7,6,20.5833,0.9662,0.9662,0.9581,0.9499,0.9391,0.9256,0.9007,0.8881,0.8656
3,7,7,21.3750,0.9662,0.9662,0.9581,0.9499,0.9391,0.9256,0.9088,0.8881,0.8709
3,7,8,21.3750,0.9662,0.9662,0.9581,0.9499,0.9391,0.9256,0.9088,0.8881,0.8709
3,7,9,21.3750,0.9662,0.9662,0.9581,0.9499,0.9391,0.9256,0.9088,0.8881,0.8709
3,7,10,21.3750,0.9662,0.9662,0.9581,0.9499,0.9391,0.9256,0.9088,0.8881,0.8709
3,7,11,21.3750,0.9662,0.9662,0.9581,0.9499,0.9391,0.9256,0.9088,0.8881,0.8709
3,7,12,21.3750,0.9662,0.9662,0.9581,0.9499,0.9391,0.9256,0.9088,0.8881,0.8709
3,7,13,21.3750,0.9662,0.9662,0.9581,0.9499,0.9391,0.9256,0.9088,0.8881,0.8709
3,7,14,21.3750,0.9662,0.9662,0.9581,0.9499,0.9391,0.9256,0.9088,0.8881,0.8709
4,7,1,4.7500,0.9662,0.9173,0.8212,0.6869,0.5295,0.3746,0.2340,0.1286,0.0609
