Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,4.8611,0.9826,0.9159,0.8070,0.6767,0.5222,0.3719,0.2527,0.1559,0.0879
2,7,2,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
2,7,3,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
2,7,4,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
2,7,5,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
2,7,6,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
2,7,7,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
2,7,8,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
2,7,9,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
2,7,10,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
2,7,11,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
2,7,12,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
2,7,13,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
2,7,14,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
3,7,1,4.8611,0.9826,0.9159,0.8070,0.6767,0.5222,0.3719,0.2527,0.1559,0.0879
3,7,2,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
3,7,3,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
3,7,4,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
3,7,5,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
3,7,6,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
3,7,7,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
3,7,8,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
3,7,9,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
3,7,10,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
3,7,11,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
3,7,12,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
3,7,13,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
3,7,14,9.7222,0.9826,0.9826,0.9159,0.9159,0.8070,0.8070,0.6767,0.6767,0.5222
4,7,1,4.4444,0.9759,0.8949,0.7693,0.6195,0.4557,0.3092,0.1961,0.1127,0.0598
4,7,2,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
4,7,3,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
4,7,4,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
4,7,5,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
4,7,6,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
4,7,7,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
4,7,8,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
4,7,9,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
4,7,10,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
4,7,11,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
4,7,12,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
4,7,13,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
4,7,14,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
5,7,1,4.4444,0.9759,0.8949,0.7693,0.6195,0.4557,0.3092,0.1961,0.1127,0.0598
5,7,2,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
5,7,3,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
5,7,4,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
5,7,5,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
5,7,6,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
5,7,7,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
5,7,8,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
5,7,9,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
5,7,10,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
5,7,11,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
5,7,12,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
5,7,13,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
5,7,14,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
6,7,1,4.4444,0.9759,0.8949,0.7693,0.6195,0.4557,0.3092,0.1961,0.1127,0.0598
6,7,2,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
6,7,3,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
6,7,4,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
6,7,5,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
6,7,6,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
6,7,7,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
6,7,8,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
6,7,9,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
6,7,10,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
6,7,11,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
6,7,12,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
6,7,13,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
6,7,14,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
7,7,1,4.4444,0.9759,0.8949,0.7693,0.6195,0.4557,0.3092,0.1961,0.1127,0.0598
7,7,2,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
7,7,3,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
7,7,4,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
7,7,5,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
7,7,6,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
7,7,7,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
7,7,8,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
7,7,9,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
7,7,10,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
7,7,11,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
7,7,12,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
7,7,13,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
7,7,14,8.8889,0.9759,0.9759,0.8949,0.8949,0.7693,0.7693,0.6195,0.6195,0.4557
8,7,1,3.7500,0.9595,0.8462,0.6849,0.5055,0.3365,0.2043,0.1132,0.0568,0.0261
8,7,2,7.5000,0.9595,0.9595,0.8462,0.8462,0.6849,0.6849,0.5055,0.5055,0.3365
8,7,3,7.5000,0.9595,0.9595,0.8462,0.8462,0.6849,0.6849,0.5055,0.5055,0.3365
8,7,4,7.5000,0.9595,0.9595,0.8462,0.8462,0.6849,0.6849,0.5055,0.5055,0.3365
8,7,5,7.5000,0.9595,0.9595,0.8462,0.8462,0.6849,0.6849,0.5055,0.5055,0.3365
