Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,3.7500,0.9683,0.8606,0.6955,0.5150,0.3395,0.1966,0.1026,0.0469,0.0177
2,7,2,7.5000,0.9683,0.9683,0.8606,0.8606,0.6955,0.6955,0.5150,0.5150,0.3395
2,7,3,10.6250,0.9683,0.9683,0.9503,0.8606,0.8560,0.8102,0.6946,0.6821,0.6193
2,7,4,13.1250,0.9683,0.9683,0.9503,0.9324,0.8560,0.8469,0.8047,0.7655,0.6795
2,7,5,15.0000,0.9683,0.9683,0.9503,0.9324,0.9098,0.8469,0.8323,0.7930,0.7558
2,7,6,16.2500,0.9683,0.9683,0.9503,0.9324,0.9098,0.8827,0.8323,0.8114,0.7741
2,7,7,16.8750,0.9683,0.9683,0.9503,0.9324,0.9098,0.8827,0.8502,0.8114,0.7833
2,7,8,16.8750,0.9683,0.9683,0.9503,0.9324,0.9098,0.8827,0.8502,0.8114,0.7833
2,7,9,16.8750,0.9683,0.9683,0.9503,0.9324,0.9098,0.8827,0.8502,0.8114,0.7833
2,7,10,16.8750,0.9683,0.9683,0.9503,0.9324,0.9098,0.8827,0.8502,0.8114,0.7833
2,7,11,16.8750,0.9683,0.9683,0.9503,0.9324,0.9098,0.8827,0.8502,0.8114,0.7833
2,7,12,16.8750,0.9683,0.9683,0.9503,0.9324,0.9098,0.8827,0.8502,0.8114,0.7833
2,7,13,16.8750,0.9683,0.9683,0.9503,0.9324,0.9098,0.8827,0.8502,0.8114,0.7833
2,7,14,16.8750,0.9683,0.9683,0.9503,0.9324,0.9098,0.8827,0.8502,0.8114,0.7833
3,7,1,3.7500,0.9683,0.8606,0.6955,0.5150,0.3395,0.1966,0.1026,0.0469,0.0177
3,7,2,7.5000,0.9683,0.9683,0.8606,0.8606,0.6955,0.6955,0.5150,0.5150,0.3395
3,7,3,10.6250,0.9683,0.9683,0.9503,0.8606,0.8560,0.8102,0.6946,0.6821,0.6193
3,7,4,13.1250,0.9683,0.9683,0.9503,0.9324,0.8560,0.8469,0.8047,0.7655,0.6795
3,7,5,15.0000,0.9683,0.9683,0.9503,0.9324,0.9098,0.8469,0.8323,0.7930,0.7558
3,7,6,16.2500,0.9683,0.9683,0.9503,0.9324,0.9098,0.8827,0.8323,0.8114,0.7741
3,7,7,16.8750,0.9683,0.9683,0.9503,0.9324,0.9098,0.8827,0.8502,0.8114,0.7833
3,7,8,16.8750,0.9683,0.9683,0.9503,0.9324,0.9098,0.8827,0.8502,0.8114,0.7833
