Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,5.0000,0.9862,0.9449,0.8637,0.7369,0.5755,0.4065,0.2545,0.1379,0.0632
2,7,2,10.0000,0.9862,0.9862,0.9449,0.9449,0.8637,0.8637,0.7369,0.7369,0.5755
2,7,3,14.1667,0.9862,0.9862,0.9793,0.9449,0.9426,0.9201,0.8631,0.8543,0.8102
2,7,4,17.5000,0.9862,0.9862,0.9793,0.9724,0.9426,0.9381,0.9172,0.8974,0.8524
2,7,5,20.0000,0.9862,0.9862,0.9793,0.9724,0.9633,0.9381,0.9307,0.9109,0.8915
2,7,6,21.6667,0.9862,0.9862,0.9793,0.9724,0.9633,0.9519,0.9307,0.9200,0.9005
2,7,7,22.5000,0.9862,0.9862,0.9793,0.9724,0.9633,0.9519,0.9376,0.9200,0.9050
2,7,8,22.5000,0.9862,0.9862,0.9793,0.9724,0.9633,0.9519,0.9376,0.9200,0.9050
2,7,9,22.5000,0.9862,0.9862,0.9793,0.9724,0.9633,0.9519,0.9376,0.9200,0.9050
2,7,10,22.5000,0.9862,0.9862,0.9793,0.9724,0.9633,0.9519,0.9376,0.9200,0.9050
2,7,11,22.5000,0.9862,0.9862,0.9793,0.9724,0.9633,0.9519,0.9376,0.9200,0.9050
2,7,12,22.5000,0.9862,0.9862,0.9793,0.9724,0.9633,0.9519,0.9376,0.9200,0.9050
2,7,13,22.5000,0.9862,0.9862,0.9793,0.9724,0.9633,0.9519,0.9376,0.9200,0.9050
2,7,14,22.5000,0.9862,0.9862,0.9793,0.9724,0.9633,0.9519,0.9376,0.9200,0.9050
3,7,1,5.0000,0.9862,0.9449,0.8637,0.7369,0.5755,0.4065,0.2545,0.1379,0.0632
3,7,2,10.0000,0.9862,0.9862,0.9449,0.9449,0.8637,0.8637,0.7369,0.7369,0.5755
3,7,3,14.1667,0.9862,0.9862,0.9793,0.9449,0.9426,0.9201,0.8631,0.8543,0.8102
3,7,4,17.5000,0.9862,0.9862,0.9793,0.9724,0.9426,0.9381,0.9172,0.8974,0.8524
3,7,5,20.0000,0.9862,0.9862,0.9793,0.9724,0.9633,0.9381,0.9307,0.9109,0.8915
3,7,6,21.6667,0.9862,0.9862,0.9793,0.9724,0.9633,0.9519,0.9307,0.9200,0.9005
3,7,7,22.5000,0.9862,0.9862,0.9793,0.9724,0.9633,0.9519,0.9376,0.9200,0.9050
3,7,8,22.5000,0.9862,0.9862,0.9793,0.9724,0.9633,0.9519,0.9376,0.9200,0.9050
3,7,9,22.5000,0.9862,0.9862,0.9793,0.9724,0.9633,0.9519,0.9376,0.9200,0.9050
3,7,10,22.5000,0.9862,0.9862,0.9793,0.9724,0.9633,0.9519,0.9376,0.9200,0.9050
3,7,11,22.5000,0.9862,0.9862,0.9793,0.9724,0.9633,0.9519,0.9376,0.9200,0.9050
3,7,12,22.5000,0.9862,0.9862,0.9793,0.9724,0.9633,0.9519,0.9376,0.9200,0.9050
3,7,13,22.5000,0.9862,0.9862,0.9793,0.9724,0.9633,0.9519,0.9376,0.9200,0.9050
3,7,14,22.5000,0.9862,0.9862,0.9793,0.9724,0.9633,0.9519,0.9376,0.9200,0.9050
4,7,1,5.0000,0.9862,0.9449,0.8637,0.7369,0.5755,0.4065,0.2545,0.1379,0.0632
4,7,2,10.0000,0.9862,0.9862,0.9449,0.9449,0.8637,0.8637,0.7369,0.7369,0.5755
