Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
2,7,2,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
2,7,3,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
2,7,4,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
2,7,5,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
2,7,6,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
2,7,7,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
2,7,8,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
2,7,9,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
2,7,10,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
2,7,11,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
2,7,12,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
2,7,13,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
2,7,14,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
3,7,1,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
3,7,2,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
3,7,3,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
3,7,4,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
3,7,5,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
3,7,6,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
3,7,7,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
3,7,8,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
3,7,9,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
3,7,10,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
3,7,11,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
3,7,12,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
3,7,13,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
3,7,14,2.9630,0.9766,0.8625,0.6221,0.3367,0.1281,0.0319,0.0047,0.0003,0.0000
4,7,1,2.5000,0.9517,0.7715,0.4805,0.2154,0.0662,0.0132,0.0015,0.0001,0.0000
4,7,2,2.5000,0.9517,0.7715,0.4805,0.2154,0.0662,0.0132,0.0015,0.0001,0.0000
4,7,3,2.5000,0.9517,0.7715,0.4805,0.2154,0.0662,0.0132,0.0015,0.0001,0.0000
4,7,4,2.5000,0.9517,0.7715,0.4805,0.2154,0.0662,0.0132,0.0015,0.0001,0.0000
4,7,5,2.5000,0.9517,0.7715,0.4805,0.2154,0.0662,0.0132,0.0015,0.0001,0.0000
4,7,6,2.5000,0.9517,0.7715,0.4805,0.2154,0.0662,0.0132,0.0015,0.0001,0.0000
4,7,7,2.5000,0.9517,0.7715,0.4805,0.2154,0.0662,0.0132,0.0015,0.0001,0.0000
4,7,8,2.5000,0.9517,0.7715,0.4805,0.2154,0.0662,0.0132,0.0015,0.0001,0.0000
4,7,9,2.5000,0.9517,0.7715,0.4805,0.2154,0.0662,0.0132,0.0015,0.0001,0.0000
4,7,10,2.5000,0.9517,0.7715,0.4805,0.2154,0.0662,0.0132,0.0015,0.0001,0.0000
4,7,11,2.5000,0.9517,0.7715,0.4805,0.2154,0.0662,0.0132,0.0015,0.0001,0.0000
4,7,12,2.5000,0.9517,0.7715,0.4805,0.2154,0.0662,0.0132,0.0015,0.0001,0.0000
4,7,13,2.5000,0.9517,0.7715,0.4805,0.2154,0.0662,0.0132,0.0015,0.0001,0.0000
4,7,14,2.5000,0.9517,0.7715,0.4805,0.2154,0.0662,0.0132,0.0015,0.0001,0.0000
5,7,1,1.8519,0.8801,0.5865,0.2752,0.0883,0.0189,0.0026,0.0002,0.0000,0.0000
5,7,2,1.8519,0.8801,0.5865,0.2752,0.0883,0.0189,0.0026,0.0002,0.0000,0.0000
5,7,3,1.8519,0.8801,0.5865,0.2752,0.0883,0.0189,0.0026,0.0002,0.0000,0.0000
5,7,4,1.8519,0.8801,0.5865,0.2752,0.0883,0.0189,0.0026,0.0002,0.0000,0.0000
5,7,5,1.8519,0.8801,0.5865,0.2752,0.0883,0.0189,0.0026,0.0002,0.0000,0.0000
5,7,6,1.8519,0.8801,0.5865,0.2752,0.0883,0.0189,0.0026,0.0002,0.0000,0.0000
5,7,7,1.8519,0.8801,0.5865,0.2752,0.0883,0.0189,0.0026,0.0002,0.0000,0.0000
5,7,8,1.8519,0.8801,0.5865,0.2752,0.0883,0.0189,0.0026,0.0002,0.0000,0.0000
5,7,9,1.8519,0.8801,0.5865,0.2752,0.0883,0.0189,0.0026,0.0002,0.0000,0.0000
