Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,7.7778,0.9998,0.9987,0.9934,0.9781,0.9388,0.8638,0.7366,0.5706,0.3775
2,7,2,7.7778,0.9998,0.9987,0.9934,0.9781,0.9388,0.8638,0.7366,0.5706,0.3775
2,7,3,7.7778,0.9998,0.9987,0.9934,0.9781,0.9388,0.8638,0.7366,0.5706,0.3775
2,7,4,7.7778,0.9998,0.9987,0.9934,0.9781,0.9388,0.8638,0.7366,0.5706,0.3775
2,7,5,7.7778,0.9998,0.9987,0.9934,0.9781,0.9388,0.8638,0.7366,0.5706,0.3775
2,7,6,7.7778,0.9998,0.9987,0.9934,0.9781,0.9388,0.8638,0.7366,0.5706,0.3775
2,7,7,7.7778,0.9998,0.9987,0.9934,0.9781,0.9388,0.8638,0.7366,0.5706,0.3775
2,7,8,7.7778,0.9998,0.9987,0.9934,0.9781,0.9388,0.8638,0.7366,0.5706,0.3775
2,7,9,7.7778,0.9998,0.9987,0.9934,0.9781,0.9388,0.8638,0.7366,0.5706,0.3775
2,7,10,7.7778,0.9998,0.9987,0.9934,0.9781,0.9388,0.8638,0.7366,0.5706,0.3775
2,7,11,7.7778,0.9998,0.9987,0.9934,0.9781,0.9388,0.8638,0.7366,0.5706,0.3775
2,7,12,7.7778,0.9998,0.9987,0.9934,0.9781,0.9388,0.8638,0.7366,0.5706,0.3775
2,7,13,7.7778,0.9998,0.9987,0.9934,0.9781,0.9388,0.8638,0.7366,0.5706,0.3775
2,7,14,7.7778,0.9998,0.9987,0.9934,0.9781,0.9388,0.8638,0.7366,0.5706,0.3775
3,7,1,6.2222,0.9991,0.9933,0.9713,0.9144,0.8049,0.6413,0.4472,0.2639,0.1265
3,7,2,6.2222,0.9991,0.9933,0.9713,0.9144,0.8049,0.6413,0.4472,0.2639,0.1265
3,7,3,6.2222,0.9991,0.9933,0.9713,0.9144,0.8049,0.6413,0.4472,0.2639,0.1265
3,7,4,6.2222,0.9991,0.9933,0.9713,0.9144,0.8049,0.6413,0.4472,0.2639,0.1265
3,7,5,6.2222,0.9991,0.9933,0.9713,0.9144,0.8049,0.6413,0.4472,0.2639,0.1265
3,7,6,6.2222,0.9991,0.9933,0.9713,0.9144,0.8049,0.6413,0.4472,0.2639,0.1265
3,7,7,6.2222,0.9991,0.9933,0.9713,0.9144,0.8049,0.6413,0.4472,0.2639,0.1265
3,7,8,6.2222,0.9991,0.9933,0.9713,0.9144,0.8049,0.6413,0.4472,0.2639,0.1265
3,7,9,6.2222,0.9991,0.9933,0.9713,0.9144,0.8049,0.6413,0.4472,0.2639,0.1265
