Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,4.3750,0.9887,0.9368,0.8197,0.6450,0.4496,0.2756,0.1480,0.0694,0.0283
2,7,2,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
2,7,3,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
2,7,4,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
2,7,5,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
2,7,6,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
2,7,7,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
2,7,8,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
2,7,9,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
2,7,10,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
2,7,11,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
2,7,12,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
2,7,13,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
2,7,14,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
3,7,1,4.3750,0.9887,0.9368,0.8197,0.6450,0.4496,0.2756,0.1480,0.0694,0.0283
3,7,2,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
3,7,3,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
3,7,4,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
3,7,5,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
3,7,6,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
3,7,7,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
3,7,8,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
3,7,9,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
3,7,10,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
3,7,11,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
3,7,12,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
3,7,13,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
3,7,14,8.7500,0.9887,0.9887,0.9368,0.9368,0.8197,0.8197,0.6450,0.6450,0.4496
4,7,1,3.5000,0.9719,0.8697,0.6864,0.4682,0.2743,0.1380,0.0597,0.0222,0.0071
4,7,2,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
4,7,3,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
4,7,4,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
4,7,5,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
4,7,6,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
4,7,7,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
4,7,8,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
4,7,9,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
4,7,10,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
4,7,11,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
4,7,12,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
4,7,13,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
4,7,14,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
5,7,1,3.5000,0.9719,0.8697,0.6864,0.4682,0.2743,0.1380,0.0597,0.0222,0.0071
5,7,2,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
5,7,3,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
5,7,4,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
5,7,5,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
5,7,6,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
5,7,7,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
5,7,8,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
5,7,9,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
5,7,10,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
5,7,11,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
5,7,12,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
5,7,13,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
5,7,14,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
6,7,1,3.5000,0.9719,0.8697,0.6864,0.4682,0.2743,0.1380,0.0597,0.0222,0.0071
6,7,2,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
6,7,3,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
6,7,4,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
6,7,5,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
6,7,6,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
6,7,7,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
6,7,8,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
6,7,9,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
6,7,10,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
6,7,11,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
6,7,12,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
6,7,13,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
6,7,14,7.0000,0.9719,0.9719,0.8697,0.8697,0.6864,0.6864,0.4682,0.4682,0.2743
