Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,3.3333,0.9923,0.9345,0.7538,0.4528,0.1705,0.0294,0.0000,0.0000,0.0000
2,7,2,6.6667,0.9923,0.9923,0.9345,0.9345,0.7538,0.7538,0.4528,0.4528,0.1705
2,7,3,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
2,7,4,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
2,7,5,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
2,7,6,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
2,7,7,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
2,7,8,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
2,7,9,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
2,7,10,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
2,7,11,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
2,7,12,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
2,7,13,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
2,7,14,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
3,7,1,3.3333,0.9923,0.9345,0.7538,0.4528,0.1705,0.0294,0.0000,0.0000,0.0000
3,7,2,6.6667,0.9923,0.9923,0.9345,0.9345,0.7538,0.7538,0.4528,0.4528,0.1705
3,7,3,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
3,7,4,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
3,7,5,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
3,7,6,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
3,7,7,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
3,7,8,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
3,7,9,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
3,7,10,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
3,7,11,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
3,7,12,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
3,7,13,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
3,7,14,10.0000,0.9923,0.9923,0.9923,0.9345,0.9345,0.9345,0.7538,0.7538,0.7538
4,7,1,2.6667,0.9706,0.8295,0.5472,0.2462,0.0655,0.0077,0.0000,0.0000,0.0000
4,7,2,5.3333,0.9706,0.9706,0.8295,0.8295,0.5472,0.5472,0.2462,0.2462,0.0655
4,7,3,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
4,7,4,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
4,7,5,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
4,7,6,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
4,7,7,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
4,7,8,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
4,7,9,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
4,7,10,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
4,7,11,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
4,7,12,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
4,7,13,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
4,7,14,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
5,7,1,2.6667,0.9706,0.8295,0.5472,0.2462,0.0655,0.0077,0.0000,0.0000,0.0000
5,7,2,5.3333,0.9706,0.9706,0.8295,0.8295,0.5472,0.5472,0.2462,0.2462,0.0655
5,7,3,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
5,7,4,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
5,7,5,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
5,7,6,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
5,7,7,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
5,7,8,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
5,7,9,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
5,7,10,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
5,7,11,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
5,7,12,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
5,7,13,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
5,7,14,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
6,7,1,2.6667,0.9706,0.8295,0.5472,0.2462,0.0655,0.0077,0.0000,0.0000,0.0000
6,7,2,5.3333,0.9706,0.9706,0.8295,0.8295,0.5472,0.5472,0.2462,0.2462,0.0655
6,7,3,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
6,7,4,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
6,7,5,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
6,7,6,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
6,7,7,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
6,7,8,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
6,7,9,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
6,7,10,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
6,7,11,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
6,7,12,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
6,7,13,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
6,7,14,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
7,7,1,2.6667,0.9706,0.8295,0.5472,0.2462,0.0655,0.0077,0.0000,0.0000,0.0000
7,7,2,5.3333,0.9706,0.9706,0.8295,0.8295,0.5472,0.5472,0.2462,0.2462,0.0655
7,7,3,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
7,7,4,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
7,7,5,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
7,7,6,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
7,7,7,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
7,7,8,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
7,7,9,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
7,7,10,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
7,7,11,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
7,7,12,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
7,7,13,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
7,7,14,8.0000,0.9706,0.9706,0.9706,0.8295,0.8295,0.8295,0.5472,0.5472,0.5472
8,7,1,2.0000,0.9122,0.6488,0.3196,0.1001,0.0178,0.0014,0.0000,0.0000,0.0000
