Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,1.2500,0.6834,0.3255,0.1808,0.0603,0.0000,0.0000,0.0000,0.0000,0.0000
2,7,2,2.5000,0.6834,0.6834,0.3255,0.3255,0.1808,0.1808,0.0603,0.0603,0.0000
2,7,3,3.5417,0.6834,0.6834,0.6237,0.3255,0.3215,0.2813,0.1803,0.1719,0.1300
2,7,4,4.3750,0.6834,0.6834,0.6237,0.5641,0.3215,0.3135,0.2767,0.2429,0.1702
2,7,5,5.0000,0.6834,0.6834,0.6237,0.5641,0.5004,0.3135,0.3009,0.2670,0.2355
2,7,6,5.4167,0.6834,0.6834,0.6237,0.5641,0.5004,0.4327,0.3009,0.2831,0.2516
2,7,7,5.6250,0.6834,0.6834,0.6237,0.5641,0.5004,0.4327,0.3605,0.2831,0.2596
2,7,8,5.6250,0.6834,0.6834,0.6237,0.5641,0.5004,0.4327,0.3605,0.2831,0.2596
2,7,9,5.6250,0.6834,0.6834,0.6237,0.5641,0.5004,0.4327,0.3605,0.2831,0.2596
2,7,10,5.6250,0.6834,0.6834,0.6237,0.5641,0.5004,0.4327,0.3605,0.2831,0.2596
2,7,11,5.6250,0.6834,0.6834,0.6237,0.5641,0.5004,0.4327,0.3605,0.2831,0.2596
2,7,12,5.6250,0.6834,0.6834,0.6237,0.5641,0.5004,0.4327,0.3605,0.2831,0.2596
2,7,13,5.6250,0.6834,0.6834,0.6237,0.5641,0.5004,0.4327,0.3605,0.2831,0.2596
2,7,14,5.6250,0.6834,0.6834,0.6237,0.5641,0.5004,0.4327,0.3605,0.2831,0.2596
3,7,1,1.2500,0.6834,0.3255,0.1808,0.0603,0.0000,0.0000,0.0000,0.0000,0.0000
3,7,2,2.5000,0.6834,0.6834,0.3255,0.3255,0.1808,0.1808,0.0603,0.0603,0.0000
3,7,3,3.5417,0.6834,0.6834,0.6237,0.3255,0.3215,0.2813,0.1803,0.1719,0.1300
3,7,4,4.3750,0.6834,0.6834,0.6237,0.5641,0.3215,0.3135,0.2767,0.2429,0.1702
3,7,5,5.0000,0.6834,0.6834,0.6237,0.5641,0.5004,0.3135,0.3009,0.2670,0.2355
3,7,6,5.4167,0.6834,0.6834,0.6237,0.5641,0.5004,0.4327,0.3009,0.2831,0.2516
3,7,7,5.6250,0.6834,0.6834,0.6237,0.5641,0.5004,0.4327,0.3605,0.2831,0.2596
3,7,8,5.6250,0.6834,0.6834,0.6237,0.5641,0.5004,0.4327,0.3605,0.2831,0.2596
3,7,9,5.6250,0.6834,0.6834,0.6237,0.5641,0.5004,0.4327,0.3605,0.2831,0.2596
3,7,10,5.6250,0.6834,0.6834,0.6237,0.5641,0.5004,0.4327,0.3605,0.2831,0.2596
3,7,11,5.6250,0.6834,0.6834,0.6237,0.5641,0.5004,0.4327,0.3605,0.2831,0.2596
3,7,12,5.6250,0.6834,0.6834,0.6237,0.5641,0.5004,0.4327,0.3605,0.2831,0.2596
3,7,13,5.6250,0.6834,0.6834,0.6237,0.5641,0.5004,0.4327,0.3605,0.2831,0.2596
