Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,5.8333,0.9977,0.9825,0.9356,0.8425,0.7038,0.5376,0.3716,0.2308,0.1278
2,7,2,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
2,7,3,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
2,7,4,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
2,7,5,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
2,7,6,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
2,7,7,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
2,7,8,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
2,7,9,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
2,7,10,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
2,7,11,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
2,7,12,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
2,7,13,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
2,7,14,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
3,7,1,5.8333,0.9977,0.9825,0.9356,0.8425,0.7038,0.5376,0.3716,0.2308,0.1278
3,7,2,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
3,7,3,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
3,7,4,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
3,7,5,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
3,7,6,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
3,7,7,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
3,7,8,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
3,7,9,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
3,7,10,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
3,7,11,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
3,7,12,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
3,7,13,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
3,7,14,11.6667,0.9977,0.9977,0.9825,0.9825,0.9356,0.9356,0.8425,0.8425,0.7038
4,7,1,4.6667,0.9917,0.9507,0.8518,0.6945,0.5067,0.3276,0.1868,0.0935,0.0409
