Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,5.8333,0.9982,0.9835,0.9315,0.8277,0.6861,0.5262,0.3673,0.2363,0.1401
2,7,2,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
2,7,3,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
2,7,4,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
2,7,5,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
2,7,6,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
2,7,7,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
2,7,8,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
2,7,9,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
2,7,10,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
2,7,11,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
2,7,12,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
2,7,13,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
2,7,14,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
3,7,1,5.8333,0.9982,0.9835,0.9315,0.8277,0.6861,0.5262,0.3673,0.2363,0.1401
3,7,2,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
3,7,3,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
3,7,4,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
3,7,5,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
3,7,6,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
3,7,7,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
3,7,8,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
3,7,9,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
3,7,10,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
3,7,11,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
3,7,12,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
3,7,13,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
3,7,14,11.6667,0.9982,0.9982,0.9835,0.9835,0.9315,0.9315,0.8277,0.8277,0.6861
4,7,1,5.3333,0.9965,0.9724,0.9005,0.7733,0.6119,0.4422,0.2896,0.1733,0.0942
4,7,2,10.6667,0.9965,0.9965,0.9724,0.9724,0.9005,0.9005,0.7733,0.7733,0.6119
4,7,3,10.6667,0.9965,0.9965,0.9724,0.9724,0.9005,0.9005,0.7733,0.7733,0.6119
4,7,4,10.6667,0.9965,0.9965,0.9724,0.9724,0.9005,0.9005,0.7733,0.7733,0.6119
4,7,5,10.6667,0.9965,0.9965,0.9724,0.9724,0.9005,0.9005,0.7733,0.7733,0.6119
4,7,6,10.6667,0.9965,0.9965,0.9724,0.9724,0.9005,0.9005,0.7733,0.7733,0.6119
