Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
2,7,2,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
2,7,3,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
2,7,4,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
2,7,5,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
2,7,6,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
2,7,7,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
2,7,8,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
2,7,9,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
2,7,10,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
2,7,11,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
2,7,12,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
2,7,13,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
2,7,14,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
3,7,1,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
3,7,2,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
3,7,3,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
3,7,4,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
3,7,5,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
3,7,6,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
3,7,7,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
3,7,8,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
3,7,9,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
3,7,10,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
3,7,11,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
3,7,12,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
3,7,13,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
3,7,14,5.0000,0.9947,0.9621,0.8742,0.7300,0.5567,0.3845,0.2398,0.1358,0.0695
4,7,1,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
4,7,2,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
4,7,3,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
4,7,4,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
4,7,5,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
4,7,6,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
4,7,7,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
4,7,8,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
4,7,9,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
4,7,10,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
4,7,11,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
4,7,12,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
4,7,13,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
4,7,14,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
5,7,1,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
5,7,2,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
5,7,3,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
5,7,4,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
5,7,5,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
5,7,6,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
5,7,7,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
5,7,8,4.0000,0.9832,0.9093,0.7595,0.5639,0.3711,0.2163,0.1121,0.0518,0.0214
