Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,3.3333,0.9923,0.9345,0.7538,0.4528,0.1705,0.0294,0.0000,0.0000,0.0000
2,7,2,5.5556,0.9923,0.9730,0.9144,0.8230,0.6723,0.5100,0.3314,0.1961,0.0915
2,7,3,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
2,7,4,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
2,7,5,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
2,7,6,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
2,7,7,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
2,7,8,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
2,7,9,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
2,7,10,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
2,7,11,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
2,7,12,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
2,7,13,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
2,7,14,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
3,7,1,3.3333,0.9923,0.9345,0.7538,0.4528,0.1705,0.0294,0.0000,0.0000,0.0000
3,7,2,5.5556,0.9923,0.9730,0.9144,0.8230,0.6723,0.5100,0.3314,0.1961,0.0915
3,7,3,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
3,7,4,6.6667,0.9923,0.9730,0.9337,0.8631,0.7660,0.6444,0.5085,0.3769,0.2590
