Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,5.0000,0.9984,0.9851,0.9329,0.8084,0.6084,0.3798,0.1893,0.0726,0.0206
2,7,2,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
2,7,3,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
2,7,4,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
2,7,5,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
2,7,6,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
2,7,7,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
2,7,8,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
2,7,9,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
2,7,10,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
2,7,11,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
2,7,12,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
2,7,13,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
2,7,14,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
3,7,1,5.0000,0.9984,0.9851,0.9329,0.8084,0.6084,0.3798,0.1893,0.0726,0.0206
3,7,2,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
3,7,3,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
3,7,4,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
3,7,5,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
3,7,6,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
3,7,7,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
3,7,8,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
3,7,9,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
3,7,10,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
3,7,11,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
3,7,12,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
3,7,13,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
3,7,14,10.0000,0.9984,0.9984,0.9851,0.9851,0.9329,0.9329,0.8084,0.8084,0.6084
4,7,1,4.0000,0.9923,0.9460,0.8189,0.6069,0.3685,0.1777,0.0664,0.0188,0.0039
4,7,2,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
4,7,3,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
4,7,4,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
4,7,5,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
4,7,6,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
4,7,7,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
4,7,8,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
4,7,9,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
4,7,10,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
4,7,11,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
4,7,12,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
4,7,13,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
4,7,14,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
5,7,1,4.0000,0.9923,0.9460,0.8189,0.6069,0.3685,0.1777,0.0664,0.0188,0.0039
5,7,2,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
5,7,3,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
5,7,4,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
5,7,5,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
5,7,6,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
5,7,7,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
5,7,8,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
5,7,9,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
5,7,10,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
5,7,11,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
5,7,12,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
5,7,13,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
5,7,14,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
6,7,1,4.0000,0.9923,0.9460,0.8189,0.6069,0.3685,0.1777,0.0664,0.0188,0.0039
6,7,2,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
6,7,3,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
