Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,2.9167,0.9498,0.7952,0.5658,0.3381,0.1681,0.0690,0.0231,0.0062,0.0013
2,7,2,5.8333,0.9498,0.9498,0.7952,0.7952,0.5658,0.5658,0.3381,0.3381,0.1681
2,7,3,8.7500,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.5658,0.5658,0.5658
2,7,4,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
2,7,5,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
2,7,6,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
2,7,7,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
2,7,8,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
2,7,9,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
2,7,10,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
2,7,11,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
2,7,12,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
2,7,13,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
2,7,14,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
3,7,1,2.9167,0.9498,0.7952,0.5658,0.3381,0.1681,0.0690,0.0231,0.0062,0.0013
3,7,2,5.8333,0.9498,0.9498,0.7952,0.7952,0.5658,0.5658,0.3381,0.3381,0.1681
3,7,3,8.7500,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.5658,0.5658,0.5658
3,7,4,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
3,7,5,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
3,7,6,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
3,7,7,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
3,7,8,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
3,7,9,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
3,7,10,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
3,7,11,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
3,7,12,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
3,7,13,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
3,7,14,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
4,7,1,2.9167,0.9498,0.7952,0.5658,0.3381,0.1681,0.0690,0.0231,0.0062,0.0013
4,7,2,5.8333,0.9498,0.9498,0.7952,0.7952,0.5658,0.5658,0.3381,0.3381,0.1681
4,7,3,8.7500,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.5658,0.5658,0.5658
4,7,4,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
4,7,5,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
4,7,6,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
4,7,7,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
4,7,8,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
4,7,9,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
4,7,10,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
4,7,11,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
4,7,12,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
4,7,13,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
4,7,14,11.6667,0.9498,0.9498,0.9498,0.9498,0.7952,0.7952,0.7952,0.7952,0.5658
5,7,1,2.3333,0.9075,0.6836,0.4173,0.2065,0.0828,0.0269,0.0070,0.0014,0.0002
5,7,2,4.6667,0.9075,0.9075,0.6836,0.6836,0.4173,0.4173,0.2065,0.2065,0.0828
5,7,3,7.0000,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.4173,0.4173,0.4173
5,7,4,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
5,7,5,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
5,7,6,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
5,7,7,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
5,7,8,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
5,7,9,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
5,7,10,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
5,7,11,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
5,7,12,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
5,7,13,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
5,7,14,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
6,7,1,2.3333,0.9075,0.6836,0.4173,0.2065,0.0828,0.0269,0.0070,0.0014,0.0002
6,7,2,4.6667,0.9075,0.9075,0.6836,0.6836,0.4173,0.4173,0.2065,0.2065,0.0828
6,7,3,7.0000,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.4173,0.4173,0.4173
6,7,4,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
6,7,5,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
6,7,6,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
6,7,7,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
6,7,8,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
6,7,9,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
6,7,10,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
6,7,11,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
6,7,12,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
6,7,13,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
6,7,14,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
7,7,1,2.3333,0.9075,0.6836,0.4173,0.2065,0.0828,0.0269,0.0070,0.0014,0.0002
7,7,2,4.6667,0.9075,0.9075,0.6836,0.6836,0.4173,0.4173,0.2065,0.2065,0.0828
7,7,3,7.0000,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.4173,0.4173,0.4173
7,7,4,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
7,7,5,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
7,7,6,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
7,7,7,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
7,7,8,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
7,7,9,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
7,7,10,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
7,7,11,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
7,7,12,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
7,7,13,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
7,7,14,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
8,7,1,2.3333,0.9075,0.6836,0.4173,0.2065,0.0828,0.0269,0.0070,0.0014,0.0002
8,7,2,4.6667,0.9075,0.9075,0.6836,0.6836,0.4173,0.4173,0.2065,0.2065,0.0828
8,7,3,7.0000,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.4173,0.4173,0.4173
8,7,4,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
8,7,5,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
8,7,6,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
8,7,7,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
8,7,8,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
8,7,9,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
8,7,10,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
8,7,11,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
8,7,12,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
8,7,13,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
8,7,14,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
9,7,1,2.3333,0.9075,0.6836,0.4173,0.2065,0.0828,0.0269,0.0070,0.0014,0.0002
9,7,2,4.6667,0.9075,0.9075,0.6836,0.6836,0.4173,0.4173,0.2065,0.2065,0.0828
9,7,3,7.0000,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.4173,0.4173,0.4173
9,7,4,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
9,7,5,9.3333,0.9075,0.9075,0.9075,0.9075,0.6836,0.6836,0.6836,0.6836,0.4173
