Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,5.5556,0.9908,0.9526,0.8755,0.7627,0.6232,0.4758,0.3400,0.2266,0.1409
2,7,2,11.1111,0.9908,0.9908,0.9526,0.9526,0.8755,0.8755,0.7627,0.7627,0.6232
2,7,3,11.1111,0.9908,0.9908,0.9526,0.9526,0.8755,0.8755,0.7627,0.7627,0.6232
2,7,4,11.1111,0.9908,0.9908,0.9526,0.9526,0.8755,0.8755,0.7627,0.7627,0.6232
2,7,5,11.1111,0.9908,0.9908,0.9526,0.9526,0.8755,0.8755,0.7627,0.7627,0.6232
2,7,6,11.1111,0.9908,0.9908,0.9526,0.9526,0.8755,0.8755,0.7627,0.7627,0.6232
2,7,7,11.1111,0.9908,0.9908,0.9526,0.9526,0.8755,0.8755,0.7627,0.7627,0.6232
2,7,8,11.1111,0.9908,0.9908,0.9526,0.9526,0.8755,0.8755,0.7627,0.7627,0.6232
2,7,9,11.1111,0.9908,0.9908,0.9526,0.9526,0.8755,0.8755,0.7627,0.7627,0.6232
2,7,10,11.1111,0.9908,0.9908,0.9526,0.9526,0.8755,0.8755,0.7627,0.7627,0.6232
2,7,11,11.1111,0.9908,0.9908,0.9526,0.9526,0.8755,0.8755,0.7627,0.7627,0.6232
2,7,12,11.1111,0.9908,0.9908,0.9526,0.9526,0.8755,0.8755,0.7627,0.7627,0.6232
2,7,13,11.1111,0.9908,0.9908,0.9526,0.9526,0.8755,0.8755,0.7627,0.7627,0.6232
2,7,14,11.1111,0.9908,0.9908,0.9526,0.9526,0.8755,0.8755,0.7627,0.7627,0.6232
3,7,1,4.4444,0.9789,0.9081,0.7837,0.6233,0.4542,0.3036,0.1865,0.1054,0.0549
3,7,2,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
3,7,3,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
3,7,4,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
3,7,5,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
3,7,6,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
3,7,7,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
3,7,8,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
3,7,9,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
3,7,10,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
3,7,11,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
3,7,12,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
3,7,13,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
3,7,14,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
4,7,1,4.4444,0.9789,0.9081,0.7837,0.6233,0.4542,0.3036,0.1865,0.1054,0.0549
4,7,2,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
4,7,3,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
4,7,4,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
4,7,5,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
4,7,6,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
4,7,7,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
4,7,8,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
4,7,9,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
4,7,10,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
4,7,11,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
4,7,12,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
4,7,13,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
4,7,14,8.8889,0.9789,0.9789,0.9081,0.9081,0.7837,0.7837,0.6233,0.6233,0.4542
5,7,1,3.3333,0.9501,0.8170,0.6254,0.4251,0.2575,0.1399,0.0686,0.0305,0.0124
5,7,2,6.6667,0.9501,0.9501,0.8170,0.8170,0.6254,0.6254,0.4251,0.4251,0.2575
5,7,3,6.6667,0.9501,0.9501,0.8170,0.8170,0.6254,0.6254,0.4251,0.4251,0.2575
5,7,4,6.6667,0.9501,0.9501,0.8170,0.8170,0.6254,0.6254,0.4251,0.4251,0.2575
5,7,5,6.6667,0.9501,0.9501,0.8170,0.8170,0.6254,0.6254,0.4251,0.4251,0.2575
5,7,6,6.6667,0.9501,0.9501,0.8170,0.8170,0.6254,0.6254,0.4251,0.4251,0.2575
5,7,7,6.6667,0.9501,0.9501,0.8170,0.8170,0.6254,0.6254,0.4251,0.4251,0.2575
5,7,8,6.6667,0.9501,0.9501,0.8170,0.8170,0.6254,0.6254,0.4251,0.4251,0.2575
5,7,9,6.6667,0.9501,0.9501,0.8170,0.8170,0.6254,0.6254,0.4251,0.4251,0.2575
5,7,10,6.6667,0.9501,0.9501,0.8170,0.8170,0.6254,0.6254,0.4251,0.4251,0.2575
5,7,11,6.6667,0.9501,0.9501,0.8170,0.8170,0.6254,0.6254,0.4251,0.4251,0.2575
5,7,12,6.6667,0.9501,0.9501,0.8170,0.8170,0.6254,0.6254,0.4251,0.4251,0.2575
5,7,13,6.6667,0.9501,0.9501,0.8170,0.8170,0.6254,0.6254,0.4251,0.4251,0.2575
5,7,14,6.6667,0.9501,0.9501,0.8170,0.8170,0.6254,0.6254,0.4251,0.4251,0.2575
6,7,1,2.2222,0.8744,0.6331,0.3822,0.1958,0.0867,0.0336,0.0116,0.0036,0.0010
6,7,2,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
6,7,3,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
6,7,4,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
6,7,5,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
6,7,6,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
6,7,7,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
6,7,8,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
6,7,9,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
6,7,10,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
6,7,11,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
6,7,12,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
6,7,13,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
6,7,14,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
7,7,1,2.2222,0.8744,0.6331,0.3822,0.1958,0.0867,0.0336,0.0116,0.0036,0.0010
7,7,2,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
7,7,3,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
7,7,4,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
7,7,5,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
7,7,6,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
7,7,7,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
7,7,8,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
7,7,9,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
7,7,10,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
7,7,11,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
7,7,12,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
7,7,13,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
7,7,14,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
8,7,1,2.2222,0.8744,0.6331,0.3822,0.1958,0.0867,0.0336,0.0116,0.0036,0.0010
8,7,2,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
8,7,3,4.4444,0.8744,0.8744,0.6331,0.6331,0.3822,0.3822,0.1958,0.1958,0.0867
