Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
2,7,2,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
2,7,3,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
2,7,4,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
2,7,5,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
2,7,6,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
2,7,7,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
2,7,8,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
2,7,9,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
2,7,10,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
2,7,11,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
2,7,12,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
2,7,13,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
2,7,14,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
3,7,1,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
3,7,2,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
3,7,3,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
3,7,4,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
3,7,5,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
3,7,6,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
3,7,7,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
3,7,8,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
3,7,9,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
3,7,10,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
3,7,11,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
3,7,12,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
3,7,13,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
3,7,14,13.3333,0.9999,0.9999,0.9990,0.9990,0.9929,0.9929,0.9674,0.9674,0.8956
4,7,1,5.3333,0.9991,0.9908,0.9543,0.8570,0.6817,0.4573,0.2480,0.1044,0.0326
4,7,2,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
4,7,3,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
4,7,4,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
4,7,5,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
4,7,6,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
4,7,7,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
4,7,8,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
4,7,9,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
4,7,10,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
4,7,11,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
4,7,12,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
4,7,13,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
4,7,14,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
5,7,1,5.3333,0.9991,0.9908,0.9543,0.8570,0.6817,0.4573,0.2480,0.1044,0.0326
5,7,2,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
5,7,3,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
5,7,4,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
5,7,5,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
5,7,6,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
5,7,7,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
5,7,8,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
5,7,9,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
5,7,10,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
5,7,11,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
5,7,12,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
5,7,13,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
5,7,14,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
6,7,1,5.3333,0.9991,0.9908,0.9543,0.8570,0.6817,0.4573,0.2480,0.1044,0.0326
6,7,2,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
6,7,3,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
6,7,4,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
6,7,5,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
6,7,6,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
6,7,7,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
6,7,8,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
6,7,9,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
6,7,10,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
6,7,11,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
6,7,12,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
6,7,13,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
6,7,14,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
7,7,1,5.3333,0.9991,0.9908,0.9543,0.8570,0.6817,0.4573,0.2480,0.1044,0.0326
7,7,2,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
7,7,3,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
7,7,4,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
7,7,5,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
7,7,6,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
7,7,7,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
7,7,8,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
7,7,9,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
7,7,10,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
7,7,11,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
7,7,12,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
7,7,13,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
7,7,14,10.6667,0.9991,0.9991,0.9908,0.9908,0.9543,0.9543,0.8570,0.8570,0.6817
8,7,1,4.0000,0.9923,0.9460,0.8189,0.6069,0.3685,0.1777,0.0664,0.0188,0.0039
8,7,2,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
8,7,3,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
8,7,4,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
8,7,5,8.0000,0.9923,0.9923,0.9460,0.9460,0.8189,0.8189,0.6069,0.6069,0.3685
