Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,3.8889,0.9825,0.9058,0.7539,0.5560,0.3565,0.1956,0.0907,0.0347,0.0105
2,7,2,7.7778,0.9825,0.9825,0.9058,0.9058,0.7539,0.7539,0.5560,0.5560,0.3565
2,7,3,11.6667,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.7539,0.7539,0.7539
2,7,4,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
2,7,5,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
2,7,6,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
2,7,7,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
2,7,8,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
2,7,9,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
2,7,10,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
2,7,11,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
2,7,12,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
2,7,13,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
2,7,14,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
3,7,1,3.8889,0.9825,0.9058,0.7539,0.5560,0.3565,0.1956,0.0907,0.0347,0.0105
3,7,2,7.7778,0.9825,0.9825,0.9058,0.9058,0.7539,0.7539,0.5560,0.5560,0.3565
3,7,3,11.6667,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.7539,0.7539,0.7539
3,7,4,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
3,7,5,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
3,7,6,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
3,7,7,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
3,7,8,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
3,7,9,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
3,7,10,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
3,7,11,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
3,7,12,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
3,7,13,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
3,7,14,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
4,7,1,3.8889,0.9825,0.9058,0.7539,0.5560,0.3565,0.1956,0.0907,0.0347,0.0105
4,7,2,7.7778,0.9825,0.9825,0.9058,0.9058,0.7539,0.7539,0.5560,0.5560,0.3565
4,7,3,11.6667,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.7539,0.7539,0.7539
4,7,4,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
4,7,5,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
4,7,6,15.5556,0.9825,0.9825,0.9825,0.9825,0.9058,0.9058,0.9058,0.9058,0.7539
