Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,6.6667,0.9991,0.9915,0.9633,0.8985,0.7917,0.6520,0.4984,0.3524,0.2304
2,7,2,13.3333,0.9991,0.9991,0.9915,0.9915,0.9633,0.9633,0.8985,0.8985,0.7917
2,7,3,13.3333,0.9991,0.9991,0.9915,0.9915,0.9633,0.9633,0.8985,0.8985,0.7917
2,7,4,13.3333,0.9991,0.9991,0.9915,0.9915,0.9633,0.9633,0.8985,0.8985,0.7917
2,7,5,13.3333,0.9991,0.9991,0.9915,0.9915,0.9633,0.9633,0.8985,0.8985,0.7917
2,7,6,13.3333,0.9991,0.9991,0.9915,0.9915,0.9633,0.9633,0.8985,0.8985,0.7917
2,7,7,13.3333,0.9991,0.9991,0.9915,0.9915,0.9633,0.9633,0.8985,0.8985,0.7917
2,7,8,13.3333,0.9991,0.9991,0.9915,0.9915,0.9633,0.9633,0.8985,0.8985,0.7917
2,7,9,13.3333,0.9991,0.9991,0.9915,0.9915,0.9633,0.9633,0.8985,0.8985,0.7917
2,7,10,13.3333,0.9991,0.9991,0.9915,0.9915,0.9633,0.9633,0.8985,0.8985,0.7917
2,7,11,13.3333,0.9991,0.9991,0.9915,0.9915,0.9633,0.9633,0.8985,0.8985,0.7917
2,7,12,13.3333,0.9991,0.9991,0.9915,0.9915,0.9633,0.9633,0.8985,0.8985,0.7917
2,7,13,13.3333,0.9991,0.9991,0.9915,0.9915,0.9633,0.9633,0.8985,0.8985,0.7917
2,7,14,13.3333,0.9991,0.9991,0.9915,0.9915,0.9633,0.9633,0.8985,0.8985,0.7917
3,7,1,5.3333,0.9957,0.9705,0.9008,0.7771,0.6141,0.4417,0.2887,0.1716,0.0930
3,7,2,10.6667,0.9957,0.9957,0.9705,0.9705,0.9008,0.9008,0.7771,0.7771,0.6141
3,7,3,10.6667,0.9957,0.9957,0.9705,0.9705,0.9008,0.9008,0.7771,0.7771,0.6141
3,7,4,10.6667,0.9957,0.9957,0.9705,0.9705,0.9008,0.9008,0.7771,0.7771,0.6141
3,7,5,10.6667,0.9957,0.9957,0.9705,0.9705,0.9008,0.9008,0.7771,0.7771,0.6141
3,7,6,10.6667,0.9957,0.9957,0.9705,0.9705,0.9008,0.9008,0.7771,0.7771,0.6141
