Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,3.6111,0.9884,0.9194,0.7470,0.5042,0.2792,0.1235,0.0402,0.0084,0.0008
2,7,2,7.2222,0.9884,0.9884,0.9194,0.9194,0.7470,0.7470,0.5042,0.5042,0.2792
2,7,3,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
2,7,4,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
2,7,5,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
2,7,6,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
2,7,7,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
2,7,8,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
2,7,9,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
2,7,10,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
2,7,11,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
2,7,12,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
2,7,13,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
2,7,14,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
3,7,1,3.6111,0.9884,0.9194,0.7470,0.5042,0.2792,0.1235,0.0402,0.0084,0.0008
3,7,2,7.2222,0.9884,0.9884,0.9194,0.9194,0.7470,0.7470,0.5042,0.5042,0.2792
3,7,3,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
3,7,4,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
3,7,5,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
3,7,6,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
3,7,7,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
3,7,8,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
3,7,9,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
3,7,10,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
3,7,11,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
3,7,12,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
3,7,13,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
3,7,14,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
4,7,1,3.6111,0.9884,0.9194,0.7470,0.5042,0.2792,0.1235,0.0402,0.0084,0.0008
4,7,2,7.2222,0.9884,0.9884,0.9194,0.9194,0.7470,0.7470,0.5042,0.5042,0.2792
4,7,3,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
4,7,4,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
4,7,5,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
4,7,6,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
4,7,7,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
4,7,8,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
4,7,9,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
4,7,10,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
4,7,11,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
4,7,12,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
4,7,13,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
4,7,14,10.8333,0.9884,0.9884,0.9884,0.9194,0.9194,0.9194,0.7470,0.7470,0.7470
5,7,1,2.8889,0.9653,0.8247,0.5772,0.3211,0.1407,0.0470,0.0111,0.0016,0.0001
5,7,2,5.7778,0.9653,0.9653,0.8247,0.8247,0.5772,0.5772,0.3211,0.3211,0.1407
5,7,3,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
5,7,4,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
5,7,5,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
5,7,6,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
5,7,7,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
5,7,8,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
5,7,9,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
5,7,10,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
5,7,11,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
5,7,12,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
5,7,13,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
5,7,14,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
6,7,1,2.8889,0.9653,0.8247,0.5772,0.3211,0.1407,0.0470,0.0111,0.0016,0.0001
6,7,2,5.7778,0.9653,0.9653,0.8247,0.8247,0.5772,0.5772,0.3211,0.3211,0.1407
6,7,3,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
6,7,4,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
6,7,5,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
6,7,6,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
6,7,7,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
6,7,8,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
6,7,9,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
6,7,10,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
6,7,11,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
6,7,12,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
6,7,13,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
6,7,14,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
7,7,1,2.8889,0.9653,0.8247,0.5772,0.3211,0.1407,0.0470,0.0111,0.0016,0.0001
7,7,2,5.7778,0.9653,0.9653,0.8247,0.8247,0.5772,0.5772,0.3211,0.3211,0.1407
7,7,3,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
7,7,4,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
7,7,5,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
7,7,6,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
7,7,7,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
7,7,8,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
7,7,9,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
7,7,10,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
7,7,11,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
7,7,12,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
7,7,13,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
7,7,14,8.6667,0.9653,0.9653,0.9653,0.8247,0.8247,0.8247,0.5772,0.5772,0.5772
