Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,8.7500,1.0000,0.9993,0.9946,0.9780,0.9416,0.8786,0.7853,0.6646,0.5277
2,7,2,8.7500,1.0000,0.9993,0.9946,0.9780,0.9416,0.8786,0.7853,0.6646,0.5277
2,7,3,8.7500,1.0000,0.9993,0.9946,0.9780,0.9416,0.8786,0.7853,0.6646,0.5277
2,7,4,8.7500,1.0000,0.9993,0.9946,0.9780,0.9416,0.8786,0.7853,0.6646,0.5277
2,7,5,8.7500,1.0000,0.9993,0.9946,0.9780,0.9416,0.8786,0.7853,0.6646,0.5277
2,7,6,8.7500,1.0000,0.9993,0.9946,0.9780,0.9416,0.8786,0.7853,0.6646,0.5277
2,7,7,8.7500,1.0000,0.9993,0.9946,0.9780,0.9416,0.8786,0.7853,0.6646,0.5277
2,7,8,8.7500,1.0000,0.9993,0.9946,0.9780,0.9416,0.8786,0.7853,0.6646,0.5277
2,7,9,8.7500,1.0000,0.9993,0.9946,0.9780,0.9416,0.8786,0.7853,0.6646,0.5277
2,7,10,8.7500,1.0000,0.9993,0.9946,0.9780,0.9416,0.8786,0.7853,0.6646,0.5277
2,7,11,8.7500,1.0000,0.9993,0.9946,0.9780,0.9416,0.8786,0.7853,0.6646,0.5277
2,7,12,8.7500,1.0000,0.9993,0.9946,0.9780,0.9416,0.8786,0.7853,0.6646,0.5277
2,7,13,8.7500,1.0000,0.9993,0.9946,0.9780,0.9416,0.8786,0.7853,0.6646,0.5277
2,7,14,8.7500,1.0000,0.9993,0.9946,0.9780,0.9416,0.8786,0.7853,0.6646,0.5277
3,7,1,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
3,7,2,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
3,7,3,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
3,7,4,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
3,7,5,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
3,7,6,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
3,7,7,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
3,7,8,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
3,7,9,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
3,7,10,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
3,7,11,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
3,7,12,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
3,7,13,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
3,7,14,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
4,7,1,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
4,7,2,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
4,7,3,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
4,7,4,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
4,7,5,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
4,7,6,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
4,7,7,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
4,7,8,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
4,7,9,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
4,7,10,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
4,7,11,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
4,7,12,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
4,7,13,7.0000,0.9994,0.9943,0.9739,0.9247,0.8378,0.7134,0.5638,0.4094,0.2708
