Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,7.0000,1.0000,0.9995,0.9960,0.9794,0.9274,0.8107,0.6202,0.3916,0.1916
2,7,2,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
2,7,3,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
2,7,4,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
2,7,5,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
2,7,6,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
2,7,7,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
2,7,8,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
2,7,9,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
2,7,10,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
2,7,11,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
2,7,12,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
2,7,13,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
2,7,14,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
3,7,1,7.0000,1.0000,0.9995,0.9960,0.9794,0.9274,0.8107,0.6202,0.3916,0.1916
3,7,2,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
3,7,3,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
3,7,4,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
3,7,5,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
3,7,6,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
3,7,7,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
3,7,8,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
3,7,9,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
3,7,10,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
3,7,11,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
3,7,12,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
3,7,13,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
3,7,14,14.0000,1.0000,1.0000,0.9995,0.9995,0.9960,0.9960,0.9794,0.9794,0.9274
4,7,1,6.0000,0.9998,0.9968,0.9807,0.9270,0.8062,0.6128,0.3872,0.1938,0.0730
4,7,2,12.0000,0.9998,0.9998,0.9968,0.9968,0.9807,0.9807,0.9270,0.9270,0.8062
4,7,3,12.0000,0.9998,0.9998,0.9968,0.9968,0.9807,0.9807,0.9270,0.9270,0.8062
4,7,4,12.0000,0.9998,0.9998,0.9968,0.9968,0.9807,0.9807,0.9270,0.9270,0.8062
4,7,5,12.0000,0.9998,0.9998,0.9968,0.9968,0.9807,0.9807,0.9270,0.9270,0.8062
4,7,6,12.0000,0.9998,0.9998,0.9968,0.9968,0.9807,0.9807,0.9270,0.9270,0.8062
