Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,8.3333,1.0000,1.0000,0.9998,0.9980,0.9893,0.9575,0.8731,0.7088,0.4755
2,7,2,8.3333,1.0000,1.0000,0.9998,0.9980,0.9893,0.9575,0.8731,0.7088,0.4755
2,7,3,8.3333,1.0000,1.0000,0.9998,0.9980,0.9893,0.9575,0.8731,0.7088,0.4755
2,7,4,8.3333,1.0000,1.0000,0.9998,0.9980,0.9893,0.9575,0.8731,0.7088,0.4755
2,7,5,8.3333,1.0000,1.0000,0.9998,0.9980,0.9893,0.9575,0.8731,0.7088,0.4755
2,7,6,8.3333,1.0000,1.0000,0.9998,0.9980,0.9893,0.9575,0.8731,0.7088,0.4755
2,7,7,8.3333,1.0000,1.0000,0.9998,0.9980,0.9893,0.9575,0.8731,0.7088,0.4755
2,7,8,8.3333,1.0000,1.0000,0.9998,0.9980,0.9893,0.9575,0.8731,0.7088,0.4755
2,7,9,8.3333,1.0000,1.0000,0.9998,0.9980,0.9893,0.9575,0.8731,0.7088,0.4755
2,7,10,8.3333,1.0000,1.0000,0.9998,0.9980,0.9893,0.9575,0.8731,0.7088,0.4755
2,7,11,8.3333,1.0000,1.0000,0.9998,0.9980,0.9893,0.9575,0.8731,0.7088,0.4755
2,7,12,8.3333,1.0000,1.0000,0.9998,0.9980,0.9893,0.9575,0.8731,0.7088,0.4755
2,7,13,8.3333,1.0000,1.0000,0.9998,0.9980,0.9893,0.9575,0.8731,0.7088,0.4755
2,7,14,8.3333,1.0000,1.0000,0.9998,0.9980,0.9893,0.9575,0.8731,0.7088,0.4755
3,7,1,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
3,7,2,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
3,7,3,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
3,7,4,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
3,7,5,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
3,7,6,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
3,7,7,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
3,7,8,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
3,7,9,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
3,7,10,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
3,7,11,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
3,7,12,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
3,7,13,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
3,7,14,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
4,7,1,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
4,7,2,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
4,7,3,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
4,7,4,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
4,7,5,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
4,7,6,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
4,7,7,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
4,7,8,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
4,7,9,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
4,7,10,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
4,7,11,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
4,7,12,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
4,7,13,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
4,7,14,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
5,7,1,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
5,7,2,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
5,7,3,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
5,7,4,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
5,7,5,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
5,7,6,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
5,7,7,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
5,7,8,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
5,7,9,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
5,7,10,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
5,7,11,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
5,7,12,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
5,7,13,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
5,7,14,6.6667,0.9999,0.9990,0.9929,0.9674,0.8956,0.7520,0.5427,0.3183,0.1430
6,7,1,5.0000,0.9984,0.9851,0.9329,0.8084,0.6084,0.3798,0.1893,0.0726,0.0206
6,7,2,5.0000,0.9984,0.9851,0.9329,0.8084,0.6084,0.3798,0.1893,0.0726,0.0206
6,7,3,5.0000,0.9984,0.9851,0.9329,0.8084,0.6084,0.3798,0.1893,0.0726,0.0206
6,7,4,5.0000,0.9984,0.9851,0.9329,0.8084,0.6084,0.3798,0.1893,0.0726,0.0206
