Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,8.6667,1.0000,1.0000,0.9999,0.9991,0.9943,0.9744,0.9142,0.7800,0.5618
2,7,2,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
2,7,3,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
2,7,4,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
2,7,5,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
2,7,6,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
2,7,7,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
2,7,8,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
2,7,9,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
2,7,10,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
2,7,11,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
2,7,12,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
2,7,13,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
2,7,14,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
3,7,1,8.6667,1.0000,1.0000,0.9999,0.9991,0.9943,0.9744,0.9142,0.7800,0.5618
3,7,2,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
3,7,3,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
3,7,4,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
3,7,5,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
3,7,6,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
3,7,7,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
3,7,8,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
3,7,9,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
3,7,10,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
3,7,11,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
3,7,12,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
3,7,13,17.3333,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9991,0.9991,0.9943
