Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,6.6667,1.0000,0.9993,0.9940,0.9701,0.8988,0.7518,0.5368,0.3112,0.1410
2,7,2,12.2222,1.0000,0.9998,0.9991,0.9975,0.9922,0.9827,0.9602,0.9278,0.8681
2,7,3,16.6667,1.0000,0.9998,0.9996,0.9987,0.9970,0.9939,0.9875,0.9774,0.9623
2,7,4,20.0000,1.0000,0.9998,0.9996,0.9991,0.9979,0.9958,0.9924,0.9870,0.9784
2,7,5,22.2222,1.0000,0.9998,0.9996,0.9991,0.9981,0.9964,0.9936,0.9893,0.9830
2,7,6,23.3333,1.0000,0.9998,0.9996,0.9991,0.9981,0.9965,0.9939,0.9900,0.9842
2,7,7,23.3333,1.0000,0.9998,0.9996,0.9991,0.9981,0.9965,0.9939,0.9900,0.9842
2,7,8,23.3333,1.0000,0.9998,0.9996,0.9991,0.9981,0.9965,0.9939,0.9900,0.9842
2,7,9,23.3333,1.0000,0.9998,0.9996,0.9991,0.9981,0.9965,0.9939,0.9900,0.9842
2,7,10,23.3333,1.0000,0.9998,0.9996,0.9991,0.9981,0.9965,0.9939,0.9900,0.9842
2,7,11,23.3333,1.0000,0.9998,0.9996,0.9991,0.9981,0.9965,0.9939,0.9900,0.9842
2,7,12,23.3333,1.0000,0.9998,0.9996,0.9991,0.9981,0.9965,0.9939,0.9900,0.9842
2,7,13,23.3333,1.0000,0.9998,0.9996,0.9991,0.9981,0.9965,0.9939,0.9900,0.9842
2,7,14,23.3333,1.0000,0.9998,0.9996,0.9991,0.9981,0.9965,0.9939,0.9900,0.9842
3,7,1,6.6667,1.0000,0.9993,0.9940,0.9701,0.8988,0.7518,0.5368,0.3112,0.1410
3,7,2,12.2222,1.0000,0.9998,0.9991,0.9975,0.9922,0.9827,0.9602,0.9278,0.8681
3,7,3,16.6667,1.0000,0.9998,0.9996,0.9987,0.9970,0.9939,0.9875,0.9774,0.9623
3,7,4,20.0000,1.0000,0.9998,0.9996,0.9991,0.9979,0.9958,0.9924,0.9870,0.9784
3,7,5,22.2222,1.0000,0.9998,0.9996,0.9991,0.9981,0.9964,0.9936,0.9893,0.9830
3,7,6,23.3333,1.0000,0.9998,0.9996,0.9991,0.9981,0.9965,0.9939,0.9900,0.9842
3,7,7,23.3333,1.0000,0.9998,0.9996,0.9991,0.9981,0.9965,0.9939,0.9900,0.9842
3,7,8,23.3333,1.0000,0.9998,0.9996,0.9991,0.9981,0.9965,0.9939,0.9900,0.9842
