Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,5.0000,0.9995,0.9930,0.9572,0.8457,0.6308,0.3654,0.1536,0.0449,0.0088
2,7,2,8.3333,0.9995,0.9973,0.9890,0.9690,0.9256,0.8538,0.7458,0.6137,0.4658
2,7,3,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
2,7,4,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
2,7,5,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
2,7,6,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
2,7,7,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
2,7,8,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
2,7,9,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
2,7,10,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
2,7,11,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
2,7,12,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
2,7,13,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
2,7,14,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
3,7,1,5.0000,0.9995,0.9930,0.9572,0.8457,0.6308,0.3654,0.1536,0.0449,0.0088
3,7,2,8.3333,0.9995,0.9973,0.9890,0.9690,0.9256,0.8538,0.7458,0.6137,0.4658
3,7,3,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
3,7,4,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
3,7,5,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
3,7,6,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
3,7,7,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
3,7,8,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
3,7,9,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
3,7,10,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
3,7,11,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
3,7,12,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
3,7,13,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
3,7,14,10.0000,0.9995,0.9973,0.9912,0.9769,0.9500,0.9055,0.8404,0.7550,0.6529
4,7,1,4.0000,0.9954,0.9605,0.8444,0.6241,0.3611,0.1551,0.0476,0.0102,0.0015
4,7,2,6.6667,0.9954,0.9838,0.9476,0.8879,0.7841,0.6593,0.5075,0.3679,0.2390
