Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,5.4167,0.9980,0.9802,0.9169,0.7922,0.6298,0.4579,0.2984,0.1763,0.0942
2,7,2,9.0278,0.9980,0.9921,0.9732,0.9404,0.8825,0.8104,0.7180,0.6229,0.5203
2,7,3,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
2,7,4,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
2,7,5,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
2,7,6,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
2,7,7,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
2,7,8,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
2,7,9,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
2,7,10,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
2,7,11,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
2,7,12,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
2,7,13,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
2,7,14,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
3,7,1,5.4167,0.9980,0.9802,0.9169,0.7922,0.6298,0.4579,0.2984,0.1763,0.0942
3,7,2,9.0278,0.9980,0.9921,0.9732,0.9404,0.8825,0.8104,0.7180,0.6229,0.5203
3,7,3,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
3,7,4,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
3,7,5,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
3,7,6,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
3,7,7,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
3,7,8,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
3,7,9,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
3,7,10,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
3,7,11,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
3,7,12,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
3,7,13,10.8333,0.9980,0.9921,0.9791,0.9545,0.9175,0.8670,0.8038,0.7321,0.6539
