Toughness,Save,Wounds,damage_avg,damage_1+,damage_2+,damage_3+,damage_4+,damage_5+,damage_6+,damage_7+,damage_8+,damage_9+
2,7,1,1.1111,0.8025,0.3086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,7,2,2.0370,0.8025,0.7202,0.3001,0.2143,0.0000,0.0000,0.0000,0.0000,0.0000
2,7,3,2.7778,0.8025,0.7202,0.6293,0.2829,0.2058,0.1372,0.0000,0.0000,0.0000
2,7,4,3.3333,0.8025,0.7202,0.6293,0.5298,0.2572,0.1886,0.1286,0.0772,0.0000
2,7,5,3.7037,0.8025,0.7202,0.6293,0.5298,0.4218,0.2229,0.1629,0.1115,0.0686
2,7,6,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
2,7,7,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
2,7,8,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
2,7,9,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
2,7,10,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
2,7,11,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
2,7,12,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
2,7,13,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
2,7,14,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
3,7,1,1.1111,0.8025,0.3086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,7,2,2.0370,0.8025,0.7202,0.3001,0.2143,0.0000,0.0000,0.0000,0.0000,0.0000
3,7,3,2.7778,0.8025,0.7202,0.6293,0.2829,0.2058,0.1372,0.0000,0.0000,0.0000
3,7,4,3.3333,0.8025,0.7202,0.6293,0.5298,0.2572,0.1886,0.1286,0.0772,0.0000
3,7,5,3.7037,0.8025,0.7202,0.6293,0.5298,0.4218,0.2229,0.1629,0.1115,0.0686
3,7,6,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
3,7,7,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
3,7,8,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
3,7,9,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
3,7,10,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
3,7,11,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
3,7,12,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
3,7,13,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
3,7,14,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
4,7,1,1.1111,0.8025,0.3086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,7,2,2.0370,0.8025,0.7202,0.3001,0.2143,0.0000,0.0000,0.0000,0.0000,0.0000
4,7,3,2.7778,0.8025,0.7202,0.6293,0.2829,0.2058,0.1372,0.0000,0.0000,0.0000
4,7,4,3.3333,0.8025,0.7202,0.6293,0.5298,0.2572,0.1886,0.1286,0.0772,0.0000
4,7,5,3.7037,0.8025,0.7202,0.6293,0.5298,0.4218,0.2229,0.1629,0.1115,0.0686
4,7,6,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
4,7,7,3.8889,0.8025,0.7202,0.6293,0.5298,0.4218,0.3052,0.1800,0.1286,0.0857
