Unit,Weapon,Range,Attacks,Skill,Strength,AP,Damage,Modifier 1,Modifier 2,Modifier 3
Overlord,Tachyon Arrow,72,1,2,16,5,D6+2,Precision,,
Overlord,Overlord's Blade,0,4,2,8,3,2,Devastating Wounds,,
Warriors,Gauss Flayer,24,1,4,4,0,1,Lethal Hits,Rapid Fire 1,
Warriors,Gauss Reaper,12,2,4,5,1,1,Lethal Hits,,
Warriors,Close Combat,0,1,4,4,0,1,,,
Skorpekh Destroyers,Hyperphase Weapons,0,4,3,7,2,2,,,
Skorpekh Destroyers,Hyperphase Weapons (Token),0,4,3,7,2,2,Devastating Wounds,,
Scarab Swarm,Feeder Mandibles,0,6,5,2,0,1,Lethal Hits,,
Doomstalker,Doomsday Blaster (Moved),48,D6+1,4,14,3,3,Blast,,
Doomstalker,Doomsday Blaster (Heavy),48,D6+1,3,14,3,3,Blast,,
Doomstalker,Twin Gauss Flayer,24,1,4,4,0,1,Rapid Fire 3,Twin-Linked,Lethal Hits
Doomstalker,Limbs,0,3,4,6,0,1,,,
Doomstalker (Damaged),Doomsday Blaster (Moved),48,D6+1,5,14,3,3,Blast,,
Doomstalker (Damaged),Doomsday Blaster (Heavy),48,D6+1,4,14,3,3,Blast,,
Doomstalker (Damaged),Twin Gauss Flayer,24,1,5,4,0,1,Rapid Fire 3,Twin-Linked,Lethal Hits
Doomstalker (Damaged),Limbs,0,3,5,6,0,1,,,
